backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,best_train_next_remaining_time_loss,_runtime,train_next_activity_acc,best_train_next_activity_loss,train_next_time_to_next_event_loss,_timestamp,_wandb.runtime,train_next_activity_loss,best_train_next_time_to_next_event_loss,_step,best_test_next_remaining_time_loss,test_next_activity_acc,train_next_remaining_time_loss,best_train_next_activity_acc,test_next_remaining_time_loss,test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_activity_loss,best_test_next_activity_loss,best_test_next_time_to_next_event_loss,few_shot_k
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,41,sum,1366081570,50505762,0.1,o763ms67,fallen-pond-50,0.6782379061318515,135.928950839,0.7889513108614232,0.6788951439803905,0.6881127015481727,1763422057.996851,135,0.6788951439803905,0.680851144089681,9,0.8794180059905099,0.593069306930693,0.6872460890128818,0.7889513108614232,0.9576257701911548,1.0812446066412595,0.6873267326732674,1.1396673296465731,0.9974638769886282,1.000582194564366,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,41,sum,1315749922,100878370,0.1,5vifb6qi,swept-gorge-51,0.687081924851021,132.812384259,0.7881086142322098,0.7447737191053811,0.6622586949710989,1763422203.6312432,132,0.7447737191053811,0.6622586949710989,9,0.9355263909254924,0.5675247524752475,0.6921344545003627,0.7881086142322098,0.9355263909254924,1.0054030867850423,0.5954455445544554,1.4532948471295952,1.3761088578063665,1.0054030867850423,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"0,1",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,41,sum,1315749922,100878370,0.1,1uourluw,smooth-sunset-52,0.6482831743214461,133.153479133,0.7869850187265918,0.738024079129937,0.6780059451914012,1763422349.809858,133,0.738024079129937,0.6780059451914012,9,0.9157742627776496,0.6364356435643564,0.6482831743214461,0.7869850187265918,0.9207796461275308,1.0982860312131373,0.6364356435643564,1.1158374527657386,1.1158374527657386,0.9363522034824484,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,0,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,41,sum,1315749922,50526242,0.1,6as9tfro,pious-rain-53,0.6179106578175049,121.968466285,0.827434456928839,0.5495064925611689,0.6153307041648622,1763422485.1762416,121,0.5495064925611689,0.6153307041648622,9,0.9820795354748716,0.6055445544554455,0.6179106578175049,0.827434456928839,1.0565856387827657,1.1015895397828357,0.6166336633663366,1.2174343626569994,1.2174343626569994,0.9924726956433588,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,-1,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,41,sum,1315749922,50526242,0.1,qr3d9jl2,pretty-galaxy-54,0.6445243918159035,121.837944362,0.7657303370786517,0.7873594263519688,0.6621851910254481,1763422619.5652666,121,0.7873594263519688,0.6621851910254481,9,0.8893793168398413,0.5570297029702971,0.6445243918159035,0.7657303370786517,0.9030206256337684,1.0314085101137067,0.5576237623762377,1.3596861961100362,1.3254039532123223,1.029492091849299,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,41,sum,1315749922,174114,0.1,s7kf2ld0,prime-grass-55,0.6324819333097907,110.319707278,0.7526217228464419,0.9348416160554922,0.6666316610373808,1763422743.294939,110,0.9348416160554922,0.6666316610373808,9,0.9440917520239802,0.5508910891089109,0.6324819333097907,0.7526217228464419,0.9440917520239802,1.0910951894816785,0.5661386138613861,1.3928743809048492,1.2953096661709322,1.0910951894816785,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,0,freeze,,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,41,sum,1315749922,174114,0.1,qxdppyz9,vivid-donkey-56,,2.768234783,,,,1763422759.216133,2,,,0,3.421613673597279,0.0,,,3.421613673597279,4.504398166165494,0.0,4.247038996479299,4.247038996479299,4.504398166165494,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,41,sum,1315749922,174114,0.1,n961beui,feasible-fire-57,1.054232449771015,29.732874109,0.13100436681222707,3.014574392393687,1.4700338326427094,1763422800.901097,29,3.014574392393687,1.4700338326427094,9,1.3327485771934584,0.09267326732673269,1.054232449771015,0.13100436681222707,1.3327485771934584,1.587880877881947,0.100990099009901,3.0740018391373134,3.0740018391373134,1.580546052479508,8.0
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,41,sum,1366081570,50505762,0.1,ecpsku43,faithful-monkey-58,1.5346561769210616,35.66679341,0.1921397379912664,2.9638236724653617,1.4997994131916996,1763422849.62319,35,2.9638236724653617,1.4709899048097268,9,1.248412949212707,0.053267326732673266,1.5346561769210616,0.1921397379912664,1.2792290007713998,2.591685757589812,0.12594059405940594,3.71158013372138,3.2916130602241744,1.551279806760278,8.0
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,42,sum,1366081570,50505762,0.1,65h8kgv0,bright-sun-59,0.656288828340809,133.969090747,0.7940074906367042,0.6643060787786705,0.6853422415055586,1763422996.0189338,133,0.6643060787786705,0.6853422415055586,9,0.9367281011071537,0.6657425742574258,0.6641029339492991,0.7954119850187266,1.0359243566683023,1.2107466291673112,0.7223762376237624,1.1505278991944718,0.8685844314688503,0.9987072679311922,
