backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,few_shot_k,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,persist_model,project_name,r,rnn_type,seed,strategy,wandb,weight_decay,id,name,test_next_activity_acc,_runtime,_timestamp,_wandb.runtime,test_next_remaining_time_loss,_step,test_next_time_to_next_event_loss
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,41,concat,True,0.1,twso8u0r,mild-sponge-18,0.634,440.054553277,1763721898.7332597,440,2.219265011882966,0,1.5408071159804315
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,42,concat,True,0.1,wq085kln,happy-waterfall-19,0.634,432.847857817,1763722345.3200936,432,2.188675153988797,0,2.2735130246388713
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,43,concat,True,0.1,zze134rp,autumn-thunder-20,0.6355,434.133765435,1763722793.2833316,434,2.374811721152426,0,1.1626433050148992
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,44,concat,True,0.1,hexe10j6,worthy-aardvark-21,0.6605,433.392286413,1763723242.0743153,433,2.2629035223325045,0,1.6413133744147668
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,45,concat,True,0.1,botrbtq1,pious-leaf-22,0.618,432.910541548,1763723688.4799092,432,2.123463145475496,0,1.8203640627500015
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20PrepaidTravelCosts,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,41,concat,True,0.1,yph1fgha,fresh-lake-23,0.66,41.797399305,1763723740.0320127,41,1.0267154215762166,0,0.844851767532452
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20PrepaidTravelCosts,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,42,concat,True,0.1,lbr44mtd,valiant-durian-24,0.6525,41.816600249,1763723791.2877457,41,1.1577339743418702,0,1.4282840486252444
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20PrepaidTravelCosts,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,43,concat,True,0.1,xa16c1hw,unique-universe-25,0.653,41.461154069,1763723842.2045348,41,1.122900796487203,0,1.144976792951545
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20PrepaidTravelCosts,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,44,concat,True,0.1,031sjche,wandering-snow-26,0.678,41.40807163,1763723893.0450368,41,1.2228361514013504,0,1.40034682385814
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20PrepaidTravelCosts,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,45,concat,True,0.1,169z4w6z,eternal-donkey-27,0.675,41.58514995,1763723944.216502,41,1.1088739961497749,0,1.140874079205244
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20TravelPermitData,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,41,concat,True,0.1,crbdvpul,sleek-totem-28,0.603,432.660608086,1763724388.6368802,432,1.0732652800916471,0,1.102035895727547
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20TravelPermitData,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,42,concat,True,0.1,kgij7pra,laced-flower-29,0.625,433.360736279,1763724833.8121693,433,1.0120879805147251,0,1.068967506422888
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20TravelPermitData,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,43,concat,True,0.1,qh2xfhsv,dazzling-water-30,0.6315,433.592642863,1763725279.3407097,433,1.1191473719775855,0,1.0549872647634129
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20TravelPermitData,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,44,concat,True,0.1,mrdbm4xa,wandering-feather-31,0.633,432.759508038,1763725723.994176,432,1.117965728476167,0,1.186109110758322
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20TravelPermitData,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,45,concat,True,0.1,zhintus8,swept-aardvark-32,0.622,432.414365295,1763726168.1320677,432,1.1327583953905187,0,1.1815540496495185
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20RequestForPayment,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,41,concat,True,0.1,fbvox9mf,vivid-water-33,0.7405,122.022895992,1763726300.7486644,122,0.7372761712749293,0,0.8041651665990371
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20RequestForPayment,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,42,concat,True,0.1,79d12bai,polar-capybara-34,0.745,121.954916516,1763726433.2941594,121,0.7400053049579244,0,0.6275345765128358
