backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,strategy,total_params,trainable_params,weight_decay,id,name,_wandb.runtime,best_test_next_activity_acc,test_next_time_to_next_event_loss,best_test_next_activity_loss,train_next_remaining_time_loss,best_train_next_time_to_next_event_loss,train_next_activity_acc,best_train_next_activity_loss,best_train_next_remaining_time_loss,best_test_next_time_to_next_event_loss,test_next_remaining_time_loss,best_train_next_activity_acc,train_next_time_to_next_event_loss,_timestamp,test_next_activity_loss,best_test_next_remaining_time_loss,_runtime,train_next_activity_loss,test_next_activity_acc,_step
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.0005,nep,1,,lstm,sum,338973,338973,0.1,drg6bswr,worldly-universe-1,26,0.6507184729768373,1.6157261484822172,1.0064089683454174,0.6267832064805875,0.7395772156035831,0.8196195531961955,0.4654999784360206,0.6267832064805875,1.458073206226724,2.950144649693923,0.8196195531961955,0.7395772156035831,1762867129.7287354,1.089710821585891,2.754896888817792,26.015444794,0.4654999784360206,0.6189233628824707,9
transformer,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,256,10,,,5,256,BPI12,,0.0005,nep,1,,lstm,sum,1071133,1071133,0.1,6351ibso,bumbling-dew-2,40,0.7521089505290249,1.4078520817998004,0.7137196310118058,0.6289522427358613,0.6885105062600589,0.8298283225290525,0.42614302877696447,0.6289522427358613,1.4078520817998004,2.7422099436116896,0.8298283225290525,0.6885105062600589,1762867183.6057105,0.7571487950365101,2.1790619063691,40.390939315,0.42614302877696447,0.710573348584501,9
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.0005,nep,2,,lstm,sum,537245,537245,0.1,a7a7k529,firm-plant-3,31,0.7537532170431799,1.3871918541041313,0.7353584207328074,0.6303226180275616,0.6905388154323086,0.8284501386691168,0.43330659457103154,0.6303226180275616,1.3565509145621883,2.7787431877682747,0.8284501386691168,0.6905388154323086,1762867228.5623212,0.7353584207328074,2.3799237234867876,31.14671391,0.43330659457103154,0.7537532170431799,9
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.0005,nep,1,,lstm,concat,336541,336541,0.1,3ufetnpa,dauntless-plasma-4,27,0.714612525021447,1.37424379967266,0.8491329068213079,0.623292598609888,0.6908691582221271,0.8227332278427169,0.4469759834347576,0.623292598609888,1.3667144510689415,2.290221338301752,0.8227332278427169,0.6908691582221271,1762867269.3267908,0.8491329068213079,2.290221338301752,27.122397395,0.4469759834347576,0.7078388618816128,9
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.001,nep,1,,lstm,sum,338973,338973,0.1,hwnt2nws,dauntless-valley-5,26,0.7625107234772662,1.3386641938600468,0.6960763737307912,0.6332182454845432,0.6653125144040146,0.8285011825157811,0.4283788846961459,0.6332182454845432,1.3386641938600468,2.494445076270345,0.8285011825157811,0.6653125144040146,1762867309.3284788,0.7455891411339245,2.4622738524474586,26.525456156,0.4283788846961459,0.7432442093222762,9
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.0002,nep,1,,lstm,sum,338973,338973,0.1,mar4fdt7,fine-cloud-6,26,0.5742600800686303,1.6777864389498642,1.2681360897896523,0.6383643123961686,0.7921176794890721,0.7954843210317663,0.5424303955017893,0.6383643123961686,1.4295747205806797,3.41288011990038,0.7954843210317663,0.7921176794890721,1762867349.7345734,1.317964900177412,3.243311259775186,26.947001157,0.5424303955017893,0.5481484129253646,9
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI17,,0.0005,nep,1,,lstm,sum,339230,339230,0.1,uw58qsvv,silvery-dragon-7,80,0.8515270514985656,1.0142847076512675,0.41669267908268975,0.5285738520780848,0.5896870958711868,0.8703352779628919,0.35470761393457007,0.5285738520780848,0.9387704641989874,1.5758496967129676,0.8703352779628919,0.5896870958711868,1762867455.212961,0.41669267908268975,1.5758496967129676,80.519789337,0.35470761393457007,0.8515270514985656,9
transformer,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,256,10,,,5,256,BPI17,,0.0005,nep,1,,lstm,sum,1071646,1071646,0.1,bw5g2iem,comic-dragon-8,121,0.8574378904104014,0.9460027288254914,0.4031670226829311,0.5292699249240272,0.563777239412558,0.8790557067493662,0.3303646507367379,0.5292699249240272,0.8990114851492934,1.437547192018028,0.8790557067493662,0.563777239412558,1762867602.1208234,0.4376648217984393,1.2142356346670025,121.420668357,0.3303646507367379,0.8495432071133538,9
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI17,,0.0005,nep,2,,lstm,sum,537502,537502,0.1,t70gwx86,daily-hill-9,93,0.8549453679776996,1.051234241917437,0.4387330923207803,0.5244350484216406,0.5630865272120937,0.8812386061709413,0.32570250190148825,0.5244350484216406,0.9194220944717268,1.4935988191290817,0.8812386061709413,0.5630865272120937,1762867721.156445,0.4829836330718728,0.9170807917810928,93.585259498,0.32570250190148825,0.8448667602634274,9
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI17,,0.0005,nep,1,,lstm,concat,336734,336734,0.1,1dz857x6,rural-paper-10,78,0.8534261162091955,0.967921095295242,0.4003844776456663,0.5288219409700715,0.5893623221383,0.8723295470762923,0.35015551106929593,0.5288219409700715,0.8947636526969104,1.5118149353971595,0.8723295470762923,0.5893623221383,1762867825.135743,0.4003844776456663,1.5118149353971595,78.220870287,0.35015551106929593,0.8534261162091955,9
