backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,strategy,total_params,trainable_params,weight_decay,id,name,train_next_remaining_time_loss,_runtime,train_next_activity_loss,test_next_remaining_time_loss,best_test_next_time_to_next_event_loss,_step,train_next_activity_acc,best_test_next_activity_acc,best_test_next_activity_loss,test_next_activity_loss,_timestamp,_wandb.runtime,best_train_next_time_to_next_event_loss,test_next_time_to_next_event_loss,best_train_next_activity_loss,best_test_next_remaining_time_loss,best_train_next_activity_acc,test_next_activity_acc,train_next_time_to_next_event_loss,best_train_next_remaining_time_loss,few_shot_k
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,lora,,5,768,BPI12,512,5e-05,nep,1,256,lstm,sum,162246173,37806365,0.1,9qfwlqga,dutiful-moon-4,0.635191884054592,378.511068932,0.4286655943574591,2.5004711306411833,1.4131782306809464,9,0.8366426760587344,0.7508042607949671,0.7514651380660433,0.8103174368568854,1762679953.6307774,378,0.7355901343573381,1.4131782306809464,0.4286655943574591,2.330817929027889,0.8370169976009392,0.721993851873034,0.7362122323757699,0.6342370194966213,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,"-1,-2",5,768,BPI12,,5e-05,nep,1,,lstm,sum,124497437,14233373,0.1,jx3h4cvp,lilac-pyramid-5,0.6468976184921239,228.875503633,0.6586895668007458,2.4525923646647194,1.4356677611061015,9,0.7529052456059755,0.7173827566485559,0.8437098346337407,0.8437098346337407,1762680197.092777,228,0.8357554985932533,1.4920946009306506,0.6586895668007458,2.123942261165334,0.7529052456059755,0.7173827566485559,0.8357554985932533,0.6468976184921239,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,"0,1",5,768,BPI12,,5e-05,nep,1,,lstm,sum,124497437,14233373,0.1,40f39541,firm-feather-6,0.6333784461226789,228.82217556,0.5137106606194938,2.3689136682816283,1.3993198625593717,9,0.8079560342334065,0.7456569917071776,0.7328379373568141,0.7328379373568141,1762680439.5026116,228,0.7771627362675227,1.420267620550743,0.5137106606194938,1.972309936339732,0.8079560342334065,0.7379360880754933,0.7771627362675227,0.6333784461226789,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,0,5,768,BPI12,,5e-05,nep,1,,lstm,sum,124497437,7145501,0.1,wfc74n31,generous-violet-7,0.6423624711869867,217.510415513,0.5503623702755575,2.772861240822891,1.384217562488101,9,0.7937913667840675,0.7543072633686017,0.7291250614002496,0.7727910921015942,1762680670.2112277,217,0.8104723340678006,1.4273130871421582,0.5503623702755575,1.9230276933112995,0.7937913667840675,0.7543072633686017,0.8104723340678006,0.6423624711869867,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,-1,5,768,BPI12,,5e-05,nep,1,,lstm,sum,124497437,7145501,0.1,jp0krpcn,denim-voice-8,0.6524728354783932,215.732329265,0.720742328708964,2.3605070480922237,1.404877672840255,9,0.7288210572882106,0.7026915927938233,0.8586161153927373,0.8586161153927373,1762680899.7201903,215,0.8520884759700181,1.4442450774590945,0.720742328708964,2.1658856511387143,0.7288210572882106,0.7026915927938233,0.8520884759700181,0.6524728354783932,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,,5,768,BPI12,,5e-05,nep,1,,lstm,sum,124497437,57629,0.1,cofvbd6g,neat-field-9,0.6956963598015232,206.563940795,0.9647107688520606,2.3674209698270885,1.4649394438406285,9,0.6401664029401256,0.46768658850443234,1.5793094963457437,1.580662072727535,1762681120.2572446,206,0.907229756063533,1.4649394438406285,0.9647107688520606,2.2354928633999234,0.6401664029401256,0.46768658850443234,0.907229756063533,0.6956963598015232,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,lora,,5,768,BPI17,512,5e-05,nep,1,256,lstm,sum,162247710,37807902,0.1,8wq12hql,cosmic-dream-10,0.5306888996293835,1286.689431552,0.31634315376567057,1.3257114588326973,0.7724118224286082,9,0.883809935108692,0.8696834666069818,0.36843643817441984,0.5007363068813372,1762682431.6462958,1286,0.5666084301977523,0.9749929889915404,0.31634315376567057,0.655096165433264,0.883809935108692,0.8206095997721122,0.5666084301977523,0.5306888996293835,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,"-1,-2",5,768,BPI17,,5e-05,nep,1,,lstm,sum,124498974,14234910,0.1,glrknhv8,proud-glitter-11,0.5402729037609808,812.240296212,0.380213715684187,0.824903185319186,0.7802509218962719,9,0.8630332994543372,0.8597744182418731,0.3620120058024699,0.3620120058024699,1762683268.83684,812,0.6172502906666679,0.7901048529491804,0.380213715684187,0.6469648544915185,0.8630332994543372,0.8597744182418731,0.6172502906666679,0.5402729037609808,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,"0,1",5,768,BPI17,,5e-05,nep,1,,lstm,sum,124498974,14234910,0.1,r2girt2h,vital-haze-12,0.5310155243503036,812.97635744,0.34710196163308304,1.7463713288432512,0.8584514420407704,9,0.8743436720116057,0.8452567467665032,0.4333827214807608,0.6481018517108743,1762684106.170596,812,0.5671989883063806,1.0842586225645126,0.34710196163308304,0.7133006414515042,0.8743436720116057,0.803643491294823,0.5671989883063806,0.5310155243503036,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,0,5,768,BPI17,,5e-05,nep,1,,lstm,sum,124498974,7147038,0.1,3nbuuoh1,summer-galaxy-13,0.5363175130037758,775.01393609,0.3804032974263142,1.3110618490922503,0.8560399299661063,9,0.8631375425193811,0.8576074497595648,0.40122252915313866,0.4186312193034242,1762684905.5313094,775,0.5874825808164446,0.976025796484924,0.3804032974263142,0.7166374063479856,0.8631375425193811,0.8489802700741313,0.5874825808164446,0.5363175130037758,
