log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h)
BPI12,rnn,32.0,128.0,25.0,,5.0,512.0,5e-05,1.0,lstm,sum,0.01,5.0,2.7553160361986277,0.013811781112209523,0.7757220474692594,0.014225151692271235,0.7689040296105681,0.04197192708460611,1.7737840006052852,0.08886338963637945,1.335187236486178,0.030167654767178476,0.7799113525879325,0.009514468614811873,0.7580436687180409,0.02850398510360652,1.7033100950349767,0.11381749766833657,1.3204611614461554,0.01397277117253777,BPI12,RNN,0.7757 ± 0.0142,0.7689 ± 0.042,1.7738 ± 0.0889,1.3352 ± 0.0302,0.7799 ± 0.0095,0.758 ± 0.0285,1.7033 ± 0.1138,1.3205 ± 0.014,0.01943 ± 0.00025
BPI12,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.5499933981825764,0.023579242614797064,0.6294000000000001,0.012121262310502133,,,2.1601431957794044,0.11463197115263402,1.6705535763678832,0.3720296945068241,,,,,,,,,BPI12,SAP-RPT,0.6294 ± 0.0121,nan ± nan,2.1601 ± 0.1146,1.6706 ± 0.372,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00500 ± 0.00093
BPI12,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.552642339871838,0.028358051042970747,0.6364,0.015261880618062761,,,2.233823710966438,0.09374574227256548,1.6877281765597942,0.40626051394694224,,,,,,,,,BPI12,TabPFN,0.6364 ± 0.0153,nan ± nan,2.2338 ± 0.0937,1.6877 ± 0.4063,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.12074 ± 0.00085
BPI12,transformer,32.0,128.0,10.0,,5.0,128.0,0.001,2.0,lstm,sum,0.1,5.0,2.6723717484572718,0.028177714110333697,0.7562410637689447,0.024609181011731953,0.7139279344199828,0.10769538070243861,2.8388388076986217,0.12088587226855338,1.3671300513184614,0.049511618976828,0.7686910208750357,0.016045561644261856,0.6634502013138033,0.038324775807774054,2.6204349439144816,0.15081849186126967,1.3364331371994882,0.01602612514346955,BPI12,Transformer,0.7562 ± 0.0246,0.7139 ± 0.1077,2.8388 ± 0.1209,1.3671 ± 0.0495,0.7687 ± 0.016,0.6635 ± 0.0383,2.6204 ± 0.1508,1.3364 ± 0.016,0.00758 ± 0.00008
BPI17,rnn,256.0,32.0,25.0,,5.0,512.0,0.0001,1.0,lstm,sum,0.01,5.0,2.938575812705873,0.0030003792812016367,0.853501400560224,0.0013044490673743434,0.4192780922617988,0.006831461900013697,0.6724594545180361,0.03252224363256439,0.7628720628876551,0.0158525915430104,0.8535319212430735,0.0013133253293614857,0.4192780922617988,0.006831461900013697,0.6097410395567124,0.013809822104006084,0.7628720628876551,0.0158525915430104,BPI17,RNN,0.8535 ± 0.0013,0.4193 ± 0.0068,0.6725 ± 0.0325,0.7629 ± 0.0159,0.8535 ± 0.0013,0.4193 ± 0.0068,0.6097 ± 0.0138,0.7629 ± 0.0159,0.04166 ± 0.00022
BPI17,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.6507590846961113,0.04983295521889881,0.6472,0.02675957772462039,,,1.3056370600137264,0.2772618582029237,1.128714511147916,0.19685050918240768,,,,,,,,,BPI17,SAP-RPT,0.6472 ± 0.0268,nan ± nan,1.3056 ± 0.2773,1.1287 ± 0.1969,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00440 ± 0.00005
BPI17,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.656221107432539,0.03340468431340858,0.669,0.01940360791193228,,,1.601086188018281,0.058943933179267397,1.1678579183809719,0.23659073201271721,,,,,,,,,BPI17,TabPFN,0.669 ± 0.0194,nan ± nan,1.6011 ± 0.0589,1.1679 ± 0.2366,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.12188 ± 0.00312
BPI17,transformer,32.0,128.0,10.0,,5.0,128.0,0.001,1.0,lstm,sum,0.1,5.0,2.906632371712766,0.008132293184138068,0.8556473436832359,0.005785023578712535,0.4141087585308886,0.013645842291006158,1.1559762054898097,0.08029803665518526,0.8836000441871,0.02962587706853067,0.8595967200439498,0.002436612803299876,0.40703006627207294,0.014157565392309484,1.134263850866088,0.08467231040806894,0.8432907420035678,0.04013331843940433,BPI17,Transformer,0.8556 ± 0.0058,0.4141 ± 0.0136,1.156 ± 0.0803,0.8836 ± 0.0296,0.8596 ± 0.0024,0.407 ± 0.0142,1.1343 ± 0.0847,0.8433 ± 0.0401,0.01953 ± 0.00030
BPI20PrepaidTravelCosts,rnn,32.0,128.0,25.0,,5.0,128.0,0.0005,1.0,lstm,sum,0.01,5.0,2.8124475392938377,0.02214610702271318,0.7840792079207921,0.020111735716687635,0.6577889085618576,0.05534133620926285,1.0744258266109052,0.030777236691620306,1.1906338566317418,0.04850535046131195,0.7897425742574258,0.013422617119191006,0.6548516858733526,0.04921889476470267,0.9536045386437143,0.027011228397959733,1.1238817450646128,0.02163134777155862,BPI20PTC,RNN,0.7841 ± 0.0201,0.6578 ± 0.0553,1.0744 ± 0.0308,1.1906 ± 0.0485,0.7897 ± 0.0134,0.6549 ± 0.0492,0.9536 ± 0.027,1.1239 ± 0.0216,0.00316 ± 0.00005
BPI20PrepaidTravelCosts,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.799015028493615,0.014216803017631448,0.7646000000000001,0.0054129474410897485,,,1.0410005188718663,0.06052799940168369,1.0862504213737723,0.21734158860440284,,,,,,,,,BPI20PTC,SAP-RPT,0.7646 ± 0.0054,nan ± nan,1.041 ± 0.0605,1.0863 ± 0.2173,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00448 ± 0.00007
