backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,train_next_activity_loss,test_next_time_to_next_event_loss,_step,train_next_remaining_time_loss,best_train_next_remaining_time_loss,train_next_time_to_next_event_loss,_wandb.runtime,best_train_next_time_to_next_event_loss,_timestamp,best_test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_remaining_time_loss,best_test_next_remaining_time_loss,_runtime,best_test_next_activity_loss,best_train_next_activity_acc,best_train_next_activity_loss,train_next_activity_acc,test_next_activity_acc,test_next_activity_loss
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI12,,0.0005,nep,1,,lstm,41,sum,88733,88733,0.01,vl6y1axq,azure-mountain-623,0.3551596940885189,1.2683752336807512,22,0.6066884661906163,0.6066884661906163,0.60439024659983,64,0.60439024659983,1764079490.2982793,1.2683752336807512,0.8043144123534458,2.5560841909094405,2.133255158334519,64.434233373,0.6155930455834789,0.8523046296768925,0.3551596940885189,0.8523046296768925,0.8043144123534458,0.6155930455834789
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI12,,0.0005,nep,1,,lstm,42,sum,88733,88733,0.01,wwv4s6ta,amber-pond-624,0.35251592559811856,1.3113942991112313,23,0.6044365090055597,0.6044365090055597,0.6025311997383713,65,0.6025311997383713,1764079568.6128757,1.3113942991112313,0.7787031741492708,2.6599976569030637,2.2050679894662224,65.573149961,0.6474290988702314,0.8535041600735032,0.35251592559811856,0.8535041600735032,0.7762010294538175,0.6474290988702314
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI12,,0.0005,nep,1,,lstm,43,sum,88733,88733,0.01,xjcuy92g,balmy-flower-625,0.3521443180676622,1.318089182040403,23,0.6051997048905982,0.6051997048905982,0.5987493436455031,66,0.5987493436455031,1764079648.0230458,1.318089182040403,0.7913926222476408,2.714852341642235,2.1329595005645183,66.748843039,0.6335065987984863,0.8537763939223794,0.3521443180676622,0.8537763939223794,0.7913926222476408,0.6335065987984863
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI12,,0.0005,nep,1,,lstm,44,sum,88733,88733,0.01,r5ax60vx,dulcet-spaceship-626,0.35647070881475534,1.2769194593728186,21,0.6065839511573811,0.6065839511573811,0.6051821762990741,60,0.6051821762990741,1764079720.7816188,1.27684352417179,0.7847083214183586,2.6385597387722366,2.053754092524111,60.193703525,0.6663749647508664,0.8521940346757865,0.35647070881475534,0.8521940346757865,0.7847083214183586,0.6663749647508664
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI12,,0.0005,nep,1,,lstm,45,sum,88733,88733,0.01,s5xrzrsn,electric-vortex-627,0.35301976245052386,1.320337745268617,24,0.5995725566207883,0.5995725566207883,0.5944807993657664,68,0.5944807993657664,1764079802.235874,1.2784477127324454,0.8094438089791249,2.589284476140993,2.267769626440032,68.910496642,0.5731238938755125,0.8537593793068246,0.35301976245052386,0.8537593793068246,0.8094438089791249,0.5731238938755125
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI17,,0.0005,nep,1,,lstm,41,sum,88894,88894,0.01,0impe63k,snowy-grass-628,0.2941599034030625,0.9572703630412706,16,0.5157026453120526,0.5157026453120526,0.5202421157907792,157,0.5202421157907792,1764079983.0476885,0.7982446032239696,0.8711891536275527,1.191318594108724,1.000700576095772,157.410142773,0.34284436337680596,0.889520965886457,0.2941599034030625,0.889520965886457,0.8698801554520114,0.3495763522197478
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI17,,0.0005,nep,1,,lstm,42,sum,88894,88894,0.01,51605uam,fine-universe-629,0.2946795646517971,0.9418067304715848,16,0.5160074024943653,0.5160074024943653,0.5191811009078517,154,0.5191811009078517,1764080160.7456307,0.7820845191848919,0.8689713173404955,1.1475270668880635,0.9695585339869528,154.582734255,0.34594747364153555,0.8895097969866308,0.2946795646517971,0.8895097969866308,0.8689407966576461,0.34594747364153555
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI17,,0.0005,nep,1,,lstm,43,sum,88894,88894,0.01,e3n940hx,decent-breeze-630,0.2935477612535949,0.9556517476727184,17,0.5157120047267957,0.5157120047267957,0.5181072966969132,164,0.5181072966969132,1764080349.1375468,0.7243195376957391,0.8739868828887487,1.0963868258836904,0.7710545664737029,164.92733906,0.33150753256397236,0.8895197248975873,0.2935477612535949,0.8895197248975873,0.8739868828887487,0.33150753256397236
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI17,,0.0005,nep,1,,lstm,44,sum,88894,88894,0.01,sn2b0vlf,atomic-pine-631,0.29368360607672184,0.9434968389500928,17,0.5154592389110276,0.5154592389110276,0.5173523802322854,166,0.5173523802322854,1764080539.042374,0.7583220111485405,0.8669908641422671,1.0915698443042472,0.8952624243967316,166.418271443,0.3370325154980888,0.888997268583498,0.29368360607672184,0.888997268583498,0.8669908641422671,0.3370325154980888
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI17,,0.0005,nep,1,,lstm,45,sum,88894,88894,0.01,pietak5h,ethereal-hill-632,0.2943173113167256,0.9349926013837738,16,0.5160170726865335,0.5160170726865335,0.5185298387884199,156,0.5185298387884199,1764080718.4224014,0.7587906917558801,0.8673672858974099,1.1176254524254088,0.8550997181099003,156.026118729,0.34753882621805343,0.8892330564687165,0.2943173113167256,0.8892330564687165,0.8673672858974099,0.34753882621805343
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20PrepaidTravelCosts,,0.0005,nep,1,,lstm,41,sum,89538,89538,0.01,a2a4re0p,logical-leaf-633,0.42299747931376824,1.213997184545687,24,0.587656722443827,0.587656722443827,0.6169441850890828,11,0.6169441850890828,1764080738.740306,1.116783207902814,0.7899009900990099,1.0666999550621108,0.952459346469086,11.411245712,0.6425767031282481,0.8662921348314607,0.42299747931376824,0.8662921348314607,0.7899009900990099,0.6425767031282481
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20PrepaidTravelCosts,,0.0005,nep,1,,lstm,42,sum,89538,89538,0.01,0ak2iei3,lively-breeze-634,0.445845959338356,1.1699165686050264,24,0.5886854648590087,0.5886854648590087,0.6093895972891247,11,0.6093895972891247,1764080758.462603,1.1406505464799332,0.7677227722772277,1.0512630339896325,0.9049121831195188,11.263690385,0.6994810764388283,0.8660112359550561,0.445845959338356,0.8660112359550561,0.7677227722772277,0.6994810764388283
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20PrepaidTravelCosts,,0.0005,nep,1,,lstm,43,sum,89538,89538,0.01,lw195nou,ruby-dream-635,0.41708568187242145,1.2426497346103782,24,0.5938619951183877,0.5938619951183877,0.6140949754679248,11,0.6140949754679248,1764080778.2209997,1.1053396839670615,0.7754455445544555,1.1088023484107292,0.9257332167294946,11.319666876,0.6578735110783341,0.874438202247191,0.41708568187242145,0.874438202247191,0.7754455445544555,0.6578735110783341
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20PrepaidTravelCosts,,0.0005,nep,1,,lstm,44,sum,89538,89538,0.01,ebqftvek,ethereal-durian-636,0.4222745245315609,1.1776736588053185,24,0.5841334749250376,0.5841334749250376,0.6129689650589161,11,0.6129689650589161,1764080798.3433154,1.1232491435626946,0.7887128712871287,1.0843454759427815,0.921045182483031,11.477713996,0.6805712903372132,0.8686329588014982,0.4222745245315609,0.8686329588014982,0.7883168316831684,0.6805712903372132
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20PrepaidTravelCosts,,0.0005,nep,1,,lstm,45,sum,89538,89538,0.01,l8twjfuz,logical-blaze-637,0.4308080069581221,1.2073187373888374,24,0.5877541934952754,0.5877541934952754,0.612222630432929,11,0.612222630432929,1764080818.3371418,1.1485043480372663,0.787920792079208,1.092055651220945,0.8916649612577835,11.526349763,0.6762404874763867,0.8678838951310861,0.4308080069581221,0.8678838951310861,0.787920792079208,0.6762404874763867
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20TravelPermitData,,0.0005,nep,1,,lstm,41,sum,92919,92919,0.01,xeugvoh2,breezy-thunder-638,0.5116145690132058,0.9793967505817466,24,0.47634617009018226,0.47634617009018226,0.6384941451675178,41,0.6384941451675178,1764080871.117449,0.8913970947265625,0.7186477307811053,0.959683975167906,0.7902206663512712,41.979794233,0.8492705667559914,0.8381973090712826,0.5116145690132058,0.8381973090712826,0.7186477307811053,0.8495748055279347
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20TravelPermitData,,0.0005,nep,1,,lstm,42,sum,92919,92919,0.01,hg1zuno3,hearty-snowflake-639,0.5042745458661069,0.9135789607991108,24,0.4768178376490068,0.4768178376490068,0.6376413799544575,42,0.6376413799544575,1764080924.1544578,0.8795792184224943,0.7113615313368323,0.888782685183566,0.7746287596450245,42.221441571,0.9174362587759473,0.8377539612167008,0.5042745458661069,0.8377539612167008,0.7113615313368323,0.928913200545657
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20TravelPermitData,,0.0005,nep,1,,lstm,43,sum,92919,92919,0.01,16mjxkrt,zany-terrain-640,0.5095154823924716,0.9399901385070292,24,0.4789079223989296,0.4789079223989296,0.6386353198498197,41,0.6386353198498197,1764080976.7055483,0.869849348877933,0.71954306884841,0.8884528520188975,0.7902756990419195,41.468138411,0.8812397612064994,0.8363853656656001,0.5095154823924716,0.8363853656656001,0.71954306884841,0.8812397612064994
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20TravelPermitData,,0.0005,nep,1,,lstm,44,sum,92919,92919,0.01,hb3enohw,electric-durian-641,0.5113060979653059,0.9414666317465424,24,0.4761299146683619,0.4761299146683619,0.6379010568785913,42,0.6379010568785913,1764081029.448572,0.8773729188311943,0.7180611299783884,0.9143462689580208,0.7932539993761939,42.135409132,0.9294650952585616,0.8388719688499943,0.5113060979653059,0.8388719688499943,0.7180611299783884,0.931277040420914
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20TravelPermitData,,0.0005,nep,1,,lstm,45,sum,92919,92919,0.01,v8plh8wv,trim-terrain-642,0.5059779098900756,0.9662912988854102,24,0.4746544381795399,0.4746544381795399,0.6374499700666784,41,0.6374499700666784,1764081082.4838252,0.8808225725344133,0.7302871256560667,0.9563695899937468,0.7841640146178351,41.965732662,0.8698612426305561,0.8385057249701222,0.5059779098900756,0.8385057249701222,0.7302871256560667,0.8698612426305561
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20RequestForPayment,,0.0005,nep,1,,lstm,41,sum,87445,87445,0.01,ogwbsgov,cool-frog-643,0.35788199342225985,0.7440104398549983,24,0.5606875475039012,0.5606875475039012,0.6737527647769713,33,0.6737527647769713,1764081125.8749046,0.7305209395933212,0.8929129385030535,0.6584900373966243,0.6573160593693542,33.559800453,0.30921344394085165,0.8762806715454154,0.35788199342225985,0.8762806715454154,0.8231785257775884,0.4303972482376522
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI20RequestForPayment,,0.0005,nep,1,,lstm,42,sum,87445,87445,0.01,1dyt9dsd,major-surf-644,0.35887536349811794,0.740408616485184,21,0.5644853249532212,0.5644853249532212,0.6781399484241106,29,0.6781399484241106,1764081165.1779597,0.7298296453126231,0.8922028121005539,0.6504555992605402,0.6470889393671418,29.66156912,0.30989432175751014,0.8777012483857082,0.35887536349811794,0.8777012483857082,0.8474648487430763,0.40414985853947455
