backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,few_shot_k,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,persist_model,project_name,r,rnn_type,seed,strategy,wandb,weight_decay,id,name,_runtime,_timestamp,test_next_time_to_next_event_loss,y_true_pred_dump.y_pred_time_to_next_event,y_true_pred_dump.y_true_time_to_next_event,y_true_pred_dump.y_true_remaining_time,test_next_remaining_time_loss,y_true_pred_dump.y_pred_next_activity,y_true_pred_dump.y_true_next_activity,_wandb.runtime,y_true_pred_dump.y_pred_remaining_time,test_next_activity_acc,_step
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,saprpt,1,False,llm-peft-ppm_saprpt_baseline,,lstm,41,concat,True,0.1,key18c3t,quiet-elevator-9,23.548176967,1764072226.3247173,1.5551873979477575,{'_type': 'histogram'},{'_type': 'histogram'},{'_type': 'histogram'},2.156577539370847,"{'_type': 'large-array', 'value': []}",{'_type': 'histogram'},23,{'_type': 'histogram'},0.632,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,saprpt,1,False,llm-peft-ppm_saprpt_baseline,,lstm,42,concat,True,0.1,e3yjg77h,drawn-thunder-10,18.883599739,1764072372.8547091,2.197437837768002,{'_type': 'histogram'},{'_type': 'histogram'},{'_type': 'histogram'},2.029209531223868,"{'_type': 'large-array', 'value': []}",{'_type': 'histogram'},18,{'_type': 'histogram'},0.623,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,saprpt,1,False,llm-peft-ppm_saprpt_baseline,,lstm,43,concat,True,0.1,esx0436d,fallen-mountain-11,15.80935474,1764072440.8259492,1.1673750838397434,{'_type': 'histogram'},{'_type': 'histogram'},{'_type': 'histogram'},2.342867737267858,"{'_type': 'large-array', 'value': []}",{'_type': 'histogram'},15,{'_type': 'histogram'},0.6225,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,saprpt,1,False,llm-peft-ppm_saprpt_baseline,,lstm,44,concat,True,0.1,uihi4vk9,sage-yogurt-12,16.121291446,1764072509.3421023,1.664815459166191,{'_type': 'histogram'},{'_type': 'histogram'},{'_type': 'histogram'},2.11536028299996,"{'_type': 'large-array', 'value': []}",{'_type': 'histogram'},16,{'_type': 'histogram'},0.6495,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,saprpt,1,False,llm-peft-ppm_saprpt_baseline,,lstm,45,concat,True,0.1,1nac4mg4,toasty-blaze-13,15.721875279,1764072577.1820636,1.767952103117721,{'_type': 'histogram'},{'_type': 'histogram'},{'_type': 'histogram'},2.156700888034489,"{'_type': 'large-array', 'value': []}",{'_type': 'histogram'},15,{'_type': 'histogram'},0.62,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI17,,0.0001,saprpt,1,False,llm-peft-ppm_saprpt_baseline,,lstm,41,concat,True,0.1,miuaz20a,exalted-microwave-14,15.967822337,1764072702.058232,1.197207935584807,{'_type': 'histogram'},{'_type': 'histogram'},{'_type': 'histogram'},1.3929965447851564,"{'_type': 'large-array', 'value': []}",{'_type': 'histogram'},16,{'_type': 'histogram'},0.617,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI17,,0.0001,saprpt,1,False,llm-peft-ppm_saprpt_baseline,,lstm,42,concat,True,0.1,bfb0x7pm,glamorous-voice-15,15.788519229,1764072830.1757782,1.3731325621741166,{'_type': 'histogram'},{'_type': 'histogram'},{'_type': 'histogram'},1.7482516739264815,"{'_type': 'large-array', 'value': []}",{'_type': 'histogram'},15,{'_type': 'histogram'},0.631,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI17,,0.0001,saprpt,1,False,llm-peft-ppm_saprpt_baseline,,lstm,43,concat,True,0.1,kqsa4923,twilight-violet-16,16.108152088,1764072958.1194372,0.9897112721384146,{'_type': 'histogram'},{'_type': 'histogram'},{'_type': 'histogram'},1.096837521473195,"{'_type': 'large-array', 'value': []}",{'_type': 'histogram'},16,{'_type': 'histogram'},0.6865,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI17,,0.0001,saprpt,1,False,llm-peft-ppm_saprpt_baseline,,lstm,44,concat,True,0.1,ehfu7iee,giddy-serenity-17,15.639517186,1764073085.3816333,1.209279080228869,{'_type': 'histogram'},{'_type': 'histogram'},{'_type': 'histogram'},1.0787799538842882,"{'_type': 'large-array', 'value': []}",{'_type': 'histogram'},15,{'_type': 'histogram'},0.6585,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI17,,0.0001,saprpt,1,False,llm-peft-ppm_saprpt_baseline,,lstm,45,concat,True,0.1,yfzcht4e,devoted-monkey-18,15.759660205,1764073212.9834394,0.8742417056133719,{'_type': 'histogram'},{'_type': 'histogram'},{'_type': 'histogram'},1.211319605999511,"{'_type': 'large-array', 'value': []}",{'_type': 'histogram'},15,{'_type': 'histogram'},0.643,0
