backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,few_shot_k,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,persist_model,project_name,r,rnn_type,seed,strategy,wandb,weight_decay,id,name,_runtime,_timestamp,test_next_time_to_next_event_loss,test_next_remaining_time_loss,_wandb.runtime,test_next_activity_acc,_step
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,41,concat,True,0.1,twso8u0r,mild-sponge-18,440.054553277,1763721898.7332597,1.5408071159804315,2.219265011882966,440,0.634,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,42,concat,True,0.1,wq085kln,happy-waterfall-19,432.847857817,1763722345.3200936,2.2735130246388713,2.188675153988797,432,0.634,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,43,concat,True,0.1,zze134rp,autumn-thunder-20,434.133765435,1763722793.2833316,1.1626433050148992,2.374811721152426,434,0.6355,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,44,concat,True,0.1,hexe10j6,worthy-aardvark-21,433.392286413,1763723242.0743153,1.6413133744147668,2.2629035223325045,433,0.6605,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI12,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,45,concat,True,0.1,botrbtq1,pious-leaf-22,432.910541548,1763723688.4799092,1.8203640627500015,2.123463145475496,432,0.618,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20PrepaidTravelCosts,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,41,concat,True,0.1,yph1fgha,fresh-lake-23,41.797399305,1763723740.0320127,0.844851767532452,1.0267154215762166,41,0.66,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20PrepaidTravelCosts,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,42,concat,True,0.1,lbr44mtd,valiant-durian-24,41.816600249,1763723791.2877457,1.4282840486252444,1.1577339743418702,41,0.6525,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20PrepaidTravelCosts,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,43,concat,True,0.1,xa16c1hw,unique-universe-25,41.461154069,1763723842.2045348,1.144976792951545,1.122900796487203,41,0.653,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20PrepaidTravelCosts,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,44,concat,True,0.1,031sjche,wandering-snow-26,41.40807163,1763723893.0450368,1.40034682385814,1.2228361514013504,41,0.678,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20PrepaidTravelCosts,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,45,concat,True,0.1,169z4w6z,eternal-donkey-27,41.58514995,1763723944.216502,1.140874079205244,1.1088739961497749,41,0.675,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20TravelPermitData,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,41,concat,True,0.1,crbdvpul,sleek-totem-28,432.660608086,1763724388.6368802,1.102035895727547,1.0732652800916471,432,0.603,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20TravelPermitData,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,42,concat,True,0.1,kgij7pra,laced-flower-29,433.360736279,1763724833.8121693,1.068967506422888,1.0120879805147251,433,0.625,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20TravelPermitData,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,43,concat,True,0.1,qh2xfhsv,dazzling-water-30,433.592642863,1763725279.3407097,1.0549872647634129,1.1191473719775855,433,0.6315,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20TravelPermitData,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,44,concat,True,0.1,mrdbm4xa,wandering-feather-31,432.759508038,1763725723.994176,1.186109110758322,1.117965728476167,432,0.633,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20TravelPermitData,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,45,concat,True,0.1,zhintus8,swept-aardvark-32,432.414365295,1763726168.1320677,1.1815540496495185,1.1327583953905187,432,0.622,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20RequestForPayment,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,41,concat,True,0.1,fbvox9mf,vivid-water-33,122.022895992,1763726300.7486644,0.8041651665990371,0.7372761712749293,122,0.7405,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20RequestForPayment,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,42,concat,True,0.1,79d12bai,polar-capybara-34,121.954916516,1763726433.2941594,0.6275345765128358,0.7400053049579244,121,0.745,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20RequestForPayment,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,43,concat,True,0.1,d2fth8l1,summer-aardvark-35,121.148784311,1763726565.006295,0.723164116855368,0.6566524965046492,121,0.754,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20RequestForPayment,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,44,concat,True,0.1,dap7a4w1,exalted-shape-36,120.716745014,1763726729.5293555,0.6663967815896907,0.7148529109594128,120,0.749,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI20RequestForPayment,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,45,concat,True,0.1,8qxok4ep,feasible-dawn-37,122.539998728,1763726863.3876135,0.7666573274603199,0.7253543531632811,122,0.731,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI17,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,41,concat,True,0.1,cv035tfe,lively-waterfall-38,432.030775227,1763727334.028216,1.183673826394024,1.5658505829715168,432,0.6435,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI17,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,42,concat,True,0.1,79v3cgz5,sparkling-dew-39,432.105630322,1763727789.4586887,1.5390801700513348,1.6631233500732323,432,0.6575,0
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,,5,32,BPI17,,0.0001,tabpfn,1,False,llm-peft-ppm_tabpfn_baseline,,lstm,43,concat,True,0.1,yms5xo72,solar-disco-40,432.386221311,1763728245.441346,1.026148466207926,1.6480896084757062,432,0.6935,0
