log,backbone,Setting,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,lora_alpha,r,few_shot_k,n_runs,_runtime_mean,_runtime_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std
BPI12,gemma-2-2b,FewShot-Freezing,8,2304,10,,5,2304,5e-05,1,lstm,sum,0.1,,,8.0,5.0,411.7209518742,3.5331240541639026,0.07989348012582212,0.03414611273399564,3.6757339778067832,0.22167118718293405,1.7119814361862395,0.23595728126440138,1.6090494661030543,0.05675427510599679,0.08763940520446097,0.028137089990642385,3.4802851819705714,0.19258255231580135,1.3363434743601694,0.12295581296413441,1.5518665427241387,0.022574484415242384,BPI12,Gemma-2-2B,0.0799 ± 0.0341,3.6757 ± 0.2217,1.712 ± 0.236,1.609 ± 0.0568,0.0876 ± 0.0281,3.4803 ± 0.1926,1.3363 ± 0.123,1.5519 ± 0.0226
BPI12,gemma-2-2b,FewShot-LoRA,8,2304,10,,5,2304,5e-05,1,lstm,sum,0.1,512.0,256.0,8.0,5.0,533.8383262407999,2.0980194215868084,0.07509651129539605,0.04960301252310457,4.154940436109325,0.8314469531789741,3.524664434861985,2.3271417901237275,2.501980295490174,1.330337391912861,0.09532098941950243,0.049637782694358874,3.1654256537058094,0.2168727443005767,1.4306587910393085,0.23711611365816032,1.6081865264519475,0.06770103912692922,BPI12,Gemma-2-2B,0.0751 ± 0.0496,4.1549 ± 0.8314,3.5247 ± 2.3271,2.502 ± 1.3303,0.0953 ± 0.0496,3.1654 ± 0.2169,1.4307 ± 0.2371,1.6082 ± 0.0677
BPI12,gemma-2-2b,Freezing,8,2304,10,,5,2304,5e-05,1,lstm,sum,0.1,,,,5.0,2298.2446164745998,9.660901270874895,0.3911853016871604,0.031387395900111456,1.4898118881283402,0.03179422253111459,2.0048443129457683,0.0841146605428384,1.5120754600263928,0.031671584039590805,0.4027630826422648,0.021144178681570747,1.4815972832072828,0.036356442276965176,1.9841655460438505,0.09277650736824614,1.4755385399284333,0.015726445684186272,BPI12,Gemma-2-2B,0.3912 ± 0.0314,1.4898 ± 0.0318,2.0048 ± 0.0841,1.5121 ± 0.0317,0.4028 ± 0.0211,1.4816 ± 0.0364,1.9842 ± 0.0928,1.4755 ± 0.0157
BPI12,gemma-2-2b,"Freezing-[-1, -2]",8,2304,10,"-1,-2",5,2304,5e-05,1,lstm,sum,0.1,,,,5.0,2523.2193763784,5.27429953149493,0.7408957678009722,0.06442460934724821,0.758728104805926,0.1566528087440855,2.9607473719822144,0.0668423100913839,1.4069588332250889,0.05736102358267209,0.7920896482699457,0.010892858789922518,0.6666438768301687,0.047217270418700955,2.190176728495479,0.17226334007089283,1.360185308692578,0.007852609065643128,BPI12,Gemma-2-2B,0.7409 ± 0.0644,0.7587 ± 0.1567,2.9607 ± 0.0668,1.407 ± 0.0574,0.7921 ± 0.0109,0.6666 ± 0.0472,2.1902 ± 0.1723,1.3602 ± 0.0079
BPI12,gemma-2-2b,Freezing-[-1],8,2304,10,-1,5,2304,5e-05,1,lstm,sum,0.1,,,,5.0,2410.8660429466,12.203485201568162,0.7481090935087218,0.06782543021772743,0.8251637257343706,0.316368221660284,2.6484494747488037,0.18670128876776626,1.4280623926434834,0.020469259888505193,0.8007327709465256,0.006144132939827827,0.6463930272224258,0.04288383250721802,2.2036046872081143,0.17552686345098803,1.3601112543475105,0.011704375878317998,BPI12,Gemma-2-2B,0.7481 ± 0.0678,0.8252 ± 0.3164,2.6484 ± 0.1867,1.4281 ± 0.0205,0.8007 ± 0.0061,0.6464 ± 0.0429,2.2036 ± 0.1755,1.3601 ± 0.0117
BPI12,gemma-2-2b,"Freezing-[0, 1]",8,2304,10,"0,1",5,2304,5e-05,1,lstm,sum,0.1,,,,5.0,2525.6955710312004,4.263444994340746,0.7327888189877038,0.060307476627936236,0.7753307895691762,0.09272923661519114,2.4130026729444554,0.13092297320222024,1.3020860863800983,0.023406693616197155,0.796993851873034,0.012058705280867993,0.6982997246067422,0.024430144067986655,2.3113180315583675,0.17826731948423247,1.2988797173555766,0.01897699341253662,BPI12,Gemma-2-2B,0.7328 ± 0.0603,0.7753 ± 0.0927,2.413 ± 0.1309,1.3021 ± 0.0234,0.797 ± 0.0121,0.6983 ± 0.0244,2.3113 ± 0.1783,1.2989 ± 0.019
BPI12,gemma-2-2b,Freezing-[0],8,2304,10,0,5,2304,5e-05,1,lstm,sum,0.1,,,,5.0,2419.361031873,7.842048158418339,0.7857056048041178,0.010332713221443164,0.7290480320662269,0.007445666707587444,2.4202806488992668,0.1473850593595136,1.3369438110182152,0.023313265037047178,0.7932871032313411,0.005058190960347723,0.7206460445198906,0.021720849184642864,2.212179603171129,0.06451788700130782,1.3219247703566748,0.02376437265047605,BPI12,Gemma-2-2B,0.7857 ± 0.0103,0.729 ± 0.0074,2.4203 ± 0.1474,1.3369 ± 0.0233,0.7933 ± 0.0051,0.7206 ± 0.0217,2.2122 ± 0.0645,1.3219 ± 0.0238
BPI12,gemma-2-2b,LoRA,8,2304,10,,5,2304,5e-05,1,lstm,sum,0.1,512.0,256.0,,5.0,3375.4784236836,10.27088773926982,0.624996425507578,0.046659339754938245,1.1342087015207065,0.174442483227184,2.3834779973160893,0.24652979008758627,1.4898130338548972,0.08214797701674116,0.6511509865599084,0.05574988535935626,1.048637731161532,0.13946507450452697,2.085156595866732,0.10999124237360892,1.4165871834984731,0.05927178105720053,BPI12,Gemma-2-2B,0.625 ± 0.0467,1.1342 ± 0.1744,2.3835 ± 0.2465,1.4898 ± 0.0821,0.6512 ± 0.0557,1.0486 ± 0.1395,2.0852 ± 0.11,1.4166 ± 0.0593
BPI12,gemma-2-2b,ZeroShot,8,2304,0,,5,2304,5e-05,1,lstm,sum,0.1,,,,5.0,38.5789648888,2.4616044844388303,0.029761223906205315,0.0183841943387687,4.444376227499111,0.6145360476037207,4.330644080803877,3.248711257342971,3.6357092122776633,2.514010421132074,0.029761223906205315,0.0183841943387687,4.444376227499111,0.6145360476037207,4.330644080803877,3.248711257342971,3.6357092122776633,2.514010421132074,BPI12,Gemma-2-2B,0.0298 ± 0.0184,4.4444 ± 0.6145,4.3306 ± 3.2487,3.6357 ± 2.514,0.0298 ± 0.0184,4.4444 ± 0.6145,4.3306 ± 3.2487,3.6357 ± 2.514
BPI12,gpt2,FewShot-Freezing,8,768,10,,5,768,5e-05,1,lstm,sum,0.1,,,8.0,5.0,34.771603460799994,0.19411517564253825,0.03723548756076637,0.03154965349260847,3.5796903999662413,0.32143486515378683,1.9014852951365195,0.8402341101069595,1.6738092136850955,0.08869795315487103,0.038654561052330574,0.03233613306779569,3.5796903999662413,0.32143486515378683,1.8621711606890057,0.8650874072063655,1.578796678908065,0.08156987224184181,BPI12,GPT2,0.0372 ± 0.0315,3.5797 ± 0.3214,1.9015 ± 0.8402,1.6738 ± 0.0887,0.0387 ± 0.0323,3.5797 ± 0.3214,1.8622 ± 0.8651,1.5788 ± 0.0816
BPI12,gpt2,FewShot-LoRA,8,768,10,,5,768,5e-05,1,lstm,sum,0.1,512.0,256.0,8.0,5.0,53.149614638399996,0.30240653319201943,0.06597440663425794,0.043544301047509476,3.7201856315357538,0.3175777950129472,2.3615282105758792,0.6155198505475868,1.885894129507727,0.3612615736968145,0.11639977123248499,0.04381486194319483,3.211081461896888,0.09629752183710642,1.4217384041872643,0.2946943209792486,1.5557268120806524,0.02184607102705686,BPI12,GPT2,0.066 ± 0.0435,3.7202 ± 0.3176,2.3615 ± 0.6155,1.8859 ± 0.3613,0.1164 ± 0.0438,3.2111 ± 0.0963,1.4217 ± 0.2947,1.5557 ± 0.0218
BPI12,gpt2,Freezing,8,768,10,,5,768,5e-05,1,lstm,sum,0.1,,,,5.0,206.09899632760002,0.9629501229828696,0.48029739776951674,0.013149666882326203,1.57992085186045,0.06673980932618605,2.4275920222639344,0.12780369525149485,1.4812431113531588,0.02027257729267606,0.48373605947955384,0.01988903522634958,1.5796503365840917,0.06673879503369934,2.267713974537625,0.08310480258876608,1.4790861133368587,0.019399452623617187,BPI12,GPT2,0.4803 ± 0.0131,1.5799 ± 0.0667,2.4276 ± 0.1278,1.4812 ± 0.0203,0.4837 ± 0.0199,1.5797 ± 0.0667,2.2677 ± 0.0831,1.4791 ± 0.0194
BPI12,gpt2,"Freezing-[-1, -2]",8,768,10,"-1,-2",5,768,5e-05,1,lstm,sum,0.1,,,,5.0,228.80950528479997,0.6905243324853486,0.6946561338289963,0.025632284265106664,0.9060693642634272,0.05696932549806386,2.6128573443505445,0.10345293690729633,1.4620449893191938,0.025131682981537503,0.695446096654275,0.024168715811403976,0.9034407489515217,0.05815251163594331,2.025975915056877,0.1605985759556995,1.4404472666603985,0.02391544442442964,BPI12,GPT2,0.6947 ± 0.0256,0.9061 ± 0.057,2.6129 ± 0.1035,1.462 ± 0.0251,0.6954 ± 0.0242,0.9034 ± 0.0582,2.026 ± 0.1606,1.4404 ± 0.0239
BPI12,gpt2,Freezing-[-1],8,768,10,-1,5,768,5e-05,1,lstm,sum,0.1,,,,5.0,217.4591578702,0.6991878463061211,0.6911424077780955,0.007524873266722222,0.9257735884714577,0.039012493800667826,2.4571220815839943,0.08362511057967188,1.4513328267570718,0.020720517426810203,0.6911424077780955,0.007524873266722222,0.9257735884714577,0.039012493800667826,2.0822411611251703,0.16612653356669824,1.4287632336685168,0.01582262279041634,BPI12,GPT2,0.6911 ± 0.0075,0.9258 ± 0.039,2.4571 ± 0.0836,1.4513 ± 0.0207,0.6911 ± 0.0075,0.9258 ± 0.039,2.0822 ± 0.1661,1.4288 ± 0.0158
BPI12,gpt2,"Freezing-[0, 1]",8,768,10,"0,1",5,768,5e-05,1,lstm,sum,0.1,,,,5.0,228.1037959712,0.6645139161034224,0.7403810408921933,0.028917208478089672,0.7457845177945663,0.058069153831558716,2.4466362409443922,0.0754003138852392,1.4038845153451516,0.014113001168681827,0.7568058335716329,0.01971106681022547,0.7256468525742816,0.044472555498465315,2.107533438847582,0.14524545507690753,1.3891495482439198,0.015190019363866714,BPI12,GPT2,0.7404 ± 0.0289,0.7458 ± 0.0581,2.4466 ± 0.0754,1.4039 ± 0.0141,0.7568 ± 0.0197,0.7256 ± 0.0445,2.1075 ± 0.1452,1.3891 ± 0.0152
BPI12,gpt2,Freezing-[0],8,768,10,0,5,768,5e-05,1,lstm,sum,0.1,,,,5.0,217.46573134420004,1.1041743379590816,0.7347404918501572,0.024977018058673237,0.7977233848999253,0.05790141704909491,2.6894665076485778,0.13261258023504438,1.4193858905149022,0.02024112328025273,0.7502073205604805,0.022032366376291364,0.7598997201669342,0.03763220280099335,1.9854313698424413,0.08630053449398123,1.3997540624190687,0.01647010299928973,BPI12,GPT2,0.7347 ± 0.025,0.7977 ± 0.0579,2.6895 ± 0.1326,1.4194 ± 0.0202,0.7502 ± 0.022,0.7599 ± 0.0376,1.9854 ± 0.0863,1.3998 ± 0.0165
BPI12,gpt2,LoRA,8,768,10,,5,768,5e-05,1,lstm,sum,0.1,512.0,256.0,,5.0,600.6950730136001,349.37805522312595,0.6138797540749212,0.12714427803485176,1.1458606701443323,0.5990008544806045,2.6737972413478133,0.12864657161473367,1.50893266506883,0.061926251636968535,0.7543179868458678,0.020009534783716153,0.7554148774914718,0.041478947221762444,2.3643537905019736,0.05112311424787658,1.4191505295795146,0.049649831025466766,BPI12,GPT2,0.6139 ± 0.1271,1.1459 ± 0.599,2.6738 ± 0.1286,1.5089 ± 0.0619,0.7543 ± 0.02,0.7554 ± 0.0415,2.3644 ± 0.0511,1.4192 ± 0.0496
BPI12,gpt2,ZeroShot,8,768,0,,5,768,5e-05,1,lstm,sum,0.1,,,,5.0,3.6829054966,0.1198141783273556,0.03948384329425222,0.032773762077706554,4.134210438028825,0.5134518505279245,3.704886843459316,4.374521873500696,2.0566733185004806,1.0724851844727787,0.03948384329425222,0.032773762077706554,4.134210438028825,0.5134518505279245,3.704886843459316,4.374521873500696,2.0566733185004806,1.0724851844727787,BPI12,GPT2,0.0395 ± 0.0328,4.1342 ± 0.5135,3.7049 ± 4.3745,2.0567 ± 1.0725,0.0395 ± 0.0328,4.1342 ± 0.5135,3.7049 ± 4.3745,2.0567 ± 1.0725
BPI12,gptneo-1b3,FewShot-Freezing,8,2048,10,,5,2048,5e-05,1,lstm,sum,0.1,,,8.0,5.0,261.45061798039995,1.3035028346058475,0.05693094080640548,0.03357423852514156,3.4445115619023463,0.3472176447569535,1.9736895550255447,0.33968703896705915,1.7583854689397298,0.1474721218683584,0.07337360594795538,0.027933490769557767,3.3620872461015168,0.3649131717246844,1.5616004494136833,0.20290412640082098,1.6503605403211679,0.13119413354463758,BPI12,GPT-Neo-1.3B,0.0569 ± 0.0336,3.4445 ± 0.3472,1.9737 ± 0.3397,1.7584 ± 0.1475,0.0734 ± 0.0279,3.3621 ± 0.3649,1.5616 ± 0.2029,1.6504 ± 0.1312
BPI12,gptneo-1b3,FewShot-LoRA,8,2048,10,,5,2048,5e-05,1,lstm,sum,0.1,512.0,256.0,8.0,5.0,282.3209209708,0.7430754533209172,0.03636331140977981,0.019546651062195566,3.551809720063093,0.41661834153060784,3.1796902733611265,2.616622077157002,1.845259083630991,0.3139959502182072,0.10022161853016871,0.050435792944674304,3.1158648265645543,0.05939406627713801,1.4986354365207686,0.40387021962532327,1.563937548384782,0.03253907378464616,BPI12,GPT-Neo-1.3B,0.0364 ± 0.0195,3.5518 ± 0.4166,3.1797 ± 2.6166,1.8453 ± 0.314,0.1002 ± 0.0504,3.1159 ± 0.0594,1.4986 ± 0.4039,1.5639 ± 0.0325
BPI12,gptneo-1b3,Freezing,8,2048,10,,5,2048,5e-05,1,lstm,sum,0.1,,,,5.0,1456.5449230972001,3.6644579681282794,0.5595689162138976,0.07549635383667665,1.560148537475994,0.38042719686976173,2.3479821592456434,0.14371180813785853,1.5310011611070933,0.0338064312199763,0.5736095224478124,0.0768805221313498,1.4783064119417668,0.37458325793734143,2.28575092461317,0.14858430802280093,1.4952053709473507,0.03424067017883247,BPI12,GPT-Neo-1.3B,0.5596 ± 0.0755,1.5601 ± 0.3804,2.348 ± 0.1437,1.531 ± 0.0338,0.5736 ± 0.0769,1.4783 ± 0.3746,2.2858 ± 0.1486,1.4952 ± 0.0342
BPI12,gptneo-1b3,"Freezing-[-1, -2]",8,2048,10,"-1,-2",5,2048,5e-05,1,lstm,sum,0.1,,,,5.0,1612.2765692694,2.9088446212587096,0.5293322848155563,0.09811007080136426,1.661602870984046,0.3844399341902898,2.4660271214574694,0.1110234491068566,1.5124422545859992,0.06774122244857081,0.5662961109522449,0.07104255871448707,1.4508357263272713,0.21372646610357515,2.3459103871642517,0.15439852613563415,1.4892233970325774,0.05177869035211865,BPI12,GPT-Neo-1.3B,0.5293 ± 0.0981,1.6616 ± 0.3844,2.466 ± 0.111,1.5124 ± 0.0677,0.5663 ± 0.071,1.4508 ± 0.2137,2.3459 ± 0.1544,1.4892 ± 0.0518
BPI12,gptneo-1b3,Freezing-[-1],8,2048,10,-1,5,2048,5e-05,1,lstm,sum,0.1,,,,5.0,1532.0446647699998,3.5868719343576476,0.5079603946239633,0.1093905944714424,1.742829772258166,0.38697752151435005,2.560276196536392,0.09503891664051736,1.5131212970335515,0.03656359672147097,0.5473620245925078,0.08590906040885325,1.4897476143024975,0.2105627587739271,2.3335137189860746,0.08077266582343308,1.4919730967033895,0.03265166174725067,BPI12,GPT-Neo-1.3B,0.508 ± 0.1094,1.7428 ± 0.387,2.5603 ± 0.095,1.5131 ± 0.0366,0.5474 ± 0.0859,1.4897 ± 0.2106,2.3335 ± 0.0808,1.492 ± 0.0327
BPI12,gptneo-1b3,"Freezing-[0, 1]",8,2048,10,"0,1",5,2048,5e-05,1,lstm,sum,0.1,,,,5.0,1610.2208052902001,3.278773339632559,0.6590327423505862,0.06305678362000325,1.0689256276331325,0.20650705875705508,2.7115769737100104,0.19690589182417942,1.4935271868298639,0.052040456931787084,0.6960144409493851,0.029600066137539245,0.9548829089182256,0.06494131804557411,2.35996403890937,0.24262755256538168,1.450968605660108,0.018465322170375716,BPI12,GPT-Neo-1.3B,0.659 ± 0.0631,1.0689 ± 0.2065,2.7116 ± 0.1969,1.4935 ± 0.052,0.696 ± 0.0296,0.9549 ± 0.0649,2.36 ± 0.2426,1.451 ± 0.0185
