log,backbone,total_params,trainable_params,trainable_percent,trainable_percent_fmt,total_params_fmt,"# params
(%trainable)"
BPI20PrepaidTravelCosts,majority,1.0,1.0,100.0,100.0%,1.e+00,1.e+00 (100.0%)
BPI12,majority,1.0,1.0,100.0,100.0%,1.e+00,1.e+00 (100.0%)
BPI20TravelPermitData,majority,1.0,1.0,100.0,100.0%,1.e+00,1.e+00 (100.0%)
BPI20RequestForPayment,majority,1.0,1.0,100.0,100.0%,1.e+00,1.e+00 (100.0%)
BPI17,majority,1.0,1.0,100.0,100.0%,1.e+00,1.e+00 (100.0%)
BPI12,rnn,88733.0,88733.0,100.0,100.0%,8.9e+04,8.9e+04 (100.0%)
BPI17,rnn,88894.0,88894.0,100.0,100.0%,8.9e+04,8.9e+04 (100.0%)
BPI20PrepaidTravelCosts,rnn,89538.0,89538.0,100.0,100.0%,9.e+04,9.e+04 (100.0%)
BPI20TravelPermitData,rnn,92919.0,92919.0,100.0,100.0%,9.3e+04,9.3e+04 (100.0%)
BPI20RequestForPayment,rnn,87445.0,87445.0,100.0,100.0%,8.7e+04,8.7e+04 (100.0%)
BPI12,rnn,307229.0,307229.0,100.0,100.0%,3.1e+05,3.1e+05 (100.0%)
BPI17,rnn,307518.0,307518.0,100.0,100.0%,3.1e+05,3.1e+05 (100.0%)
BPI20PrepaidTravelCosts,rnn,308674.0,308674.0,100.0,100.0%,3.1e+05,3.1e+05 (100.0%)
BPI20TravelPermitData,rnn,314743.0,314743.0,100.0,100.0%,3.1e+05,3.1e+05 (100.0%)
BPI20RequestForPayment,rnn,304917.0,304917.0,100.0,100.0%,3.0e+05,3.0e+05 (100.0%)
BPI12,rnn,1137437.0,1137437.0,100.0,100.0%,1.1e+06,1.1e+06 (100.0%)
BPI17,rnn,1137982.0,1137982.0,100.0,100.0%,1.1e+06,1.1e+06 (100.0%)
BPI20PrepaidTravelCosts,rnn,1140162.0,1140162.0,100.0,100.0%,1.1e+06,1.1e+06 (100.0%)
BPI20TravelPermitData,rnn,1151607.0,1151607.0,100.0,100.0%,1.2e+06,1.2e+06 (100.0%)
BPI20RequestForPayment,rnn,1133077.0,1133077.0,100.0,100.0%,1.1e+06,1.1e+06 (100.0%)
BPI12,rnn,141725.0,141725.0,100.0,100.0%,1.4e+05,1.4e+05 (100.0%)
BPI17,rnn,141982.0,141982.0,100.0,100.0%,1.4e+05,1.4e+05 (100.0%)
BPI20PrepaidTravelCosts,rnn,143010.0,143010.0,100.0,100.0%,1.4e+05,1.4e+05 (100.0%)
BPI20TravelPermitData,rnn,148407.0,148407.0,100.0,100.0%,1.5e+05,1.5e+05 (100.0%)
BPI20RequestForPayment,rnn,139669.0,139669.0,100.0,100.0%,1.4e+05,1.4e+05 (100.0%)
BPI12,rnn,409373.0,409373.0,100.0,100.0%,4.1e+05,4.1e+05 (100.0%)
