log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,# params (%trainable)
BPI12,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1366061085.0,50485277.0,2.614756099825143,0.0302846713868551,0.7152058907635116,0.0271322063853826,0.8868793945279092,0.098732858515972,2.780067687394622,0.1271183308940126,1.6126714798941617,0.0555399164313161,0.7259293680297397,0.0367383410542384,0.8727570753012994,0.1113871166415834,2.399018848110108,0.2066295070444249,1.4540666061670573,0.0620834482752529,BPI12,GPT-Neo-1.3B,0.7152 ± 0.0271,0.8869 ± 0.0987,2.7801 ± 0.1271,1.6127 ± 0.0555,0.7259 ± 0.0367,0.8728 ± 0.1114,2.399 ± 0.2066,1.4541 ± 0.0621,0.45739 ± 0.00169,LoRA,512.0,256.0,,1.4e+09 (4%)
BPI12,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,,sum,0.1,10.0,162246173.0,37806365.0,2.551378212508111,0.1125230119654615,0.6443934086359737,0.0938146517667233,1.014415274180785,0.424277810103024,2.629028867580051,0.132474381978558,1.4960278378241965,0.0662725987098384,0.7503449385187303,0.0167014055493013,0.7673812015728334,0.0349126813256469,2.360052679678589,0.0529502234743441,1.4249106991337557,0.0394670457576008,BPI12,GPT2,0.6444 ± 0.0938,1.0144 ± 0.4243,2.629 ± 0.1325,1.496 ± 0.0663,0.7503 ± 0.0167,0.7674 ± 0.0349,2.3601 ± 0.053,1.4249 ± 0.0395,0.13659 ± 0.07217,LoRA,512.0,256.0,,1.6e+08 (23%)
BPI12,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,,sum,0.1,5.0,2946782237.0,332440349.0,2.543791492110871,0.0619379565691156,0.624996425507578,0.0466593397549382,1.1342087015207063,0.174442483227184,2.3834779973160893,0.2465297900875862,1.4898130338548972,0.0821479770167411,0.6511509865599084,0.0557498853593562,1.048637731161532,0.1394650745045269,2.085156595866732,0.1099912423736089,1.4165871834984731,0.0592717810572005,BPI12,Gemma-2-2B,0.625 ± 0.0467,1.1342 ± 0.1744,2.3835 ± 0.2465,1.4898 ± 0.0821,0.6512 ± 0.0557,1.0486 ± 0.1395,2.0852 ± 0.11,1.4166 ± 0.0593,0.93763 ± 0.00285,LoRA,512.0,256.0,,2.9e+09 (11%)
BPI12,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1416323101.0,180508701.0,2.354766755846525,0.1130135937510567,0.4796575636259651,0.1051784232493308,1.8530949940724408,0.5401254071075964,2.6797739134658016,0.1250912648654038,1.6597404769583703,0.0391169963430368,0.654836288247069,0.0567845303226443,1.1285075032901926,0.2004749265561043,2.3596927144091966,0.2540782061735344,1.4816027326179653,0.0320841088788373,BPI12,Llama3.2-1B,0.4797 ± 0.1052,1.8531 ± 0.5401,2.6798 ± 0.1251,1.6597 ± 0.0391,0.6548 ± 0.0568,1.1285 ± 0.2005,2.3597 ± 0.2541,1.4816 ± 0.0321,0.48493 ± 0.00813,LoRA,512.0,256.0,,1.4e+09 (13%)
BPI12,majority,,,,,,,,,,,,1.0,1.0,1.0,2.1509499971439263,,0.22603302830998,,6.200418674097015,,1.3884333616534337,,1.5433643597482032,,0.22603302830998,,6.200418674097015,,1.3884333616534337,,1.5433643597482032,,BPI12,Majority,0.226 ± nan,6.2004 ± nan,1.3884 ± nan,1.5434 ± nan,0.226 ± nan,6.2004 ± nan,1.3884 ± nan,1.5434 ± nan,0.00989 ± nan,,,,,1.e+00 (100%)
BPI12,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,,sum,0.1,10.0,634871325.0,140838557.0,2.5507386111435664,0.0808847791117127,0.6373784672576495,0.0722723677414201,1.0954683495293964,0.2579905251676318,2.565950127216859,0.0727407560459787,1.4363885196999968,0.0496110346213671,0.7081069488132685,0.0405856571897262,0.890711770283177,0.1591411779247071,2.297777874489069,0.1155927793626867,1.4053841152467537,0.0397863659517752,BPI12,Qwen2.5-0.5B,0.6374 ± 0.0723,1.0955 ± 0.258,2.566 ± 0.0727,1.4364 ± 0.0496,0.7081 ± 0.0406,0.8907 ± 0.1591,2.2978 ± 0.1156,1.4054 ± 0.0398,0.35070 ± 0.00335,LoRA,512.0,256.0,,6.3e+08 (22%)
BPI12,rnn,32.0,128.0,25.0,,5.0,512.0,5e-05,1.0,lstm,sum,0.01,5.0,1337885.0,1337885.0,2.755316036198628,0.0138117811122095,0.7757220474692594,0.0142251516922712,0.7689040296105681,0.0419719270846061,1.7737840006052852,0.0888633896363794,1.335187236486178,0.0301676547671784,0.7799113525879325,0.0095144686148118,0.7580436687180409,0.0285039851036065,1.7033100950349769,0.1138174976683365,1.3204611614461554,0.0139727711725377,BPI12,RNN,0.7757 ± 0.0142,0.7689 ± 0.042,1.7738 ± 0.0889,1.3352 ± 0.0302,0.7799 ± 0.0095,0.758 ± 0.0285,1.7033 ± 0.1138,1.3205 ± 0.014,0.01943 ± 0.00025,,,,,1.3e+06 (100%)
BPI12,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,,,2.5499933981825764,0.023579242614797,0.6294000000000001,0.0121212623105021,,,2.1601431957794044,0.114631971152634,1.6705535763678832,0.3720296945068241,,,,,,,,,BPI12,SAP-RPT,0.6294 ± 0.0121,nan ± nan,2.1601 ± 0.1146,1.6706 ± 0.372,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00500 ± 0.00093,,,,,
BPI12,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,,,2.552642339871838,0.0283580510429707,0.6364,0.0152618806180627,,,2.233823710966438,0.0937457422725654,1.6877281765597942,0.4062605139469422,,,,,,,,,BPI12,TabPFN,0.6364 ± 0.0153,nan ± nan,2.2338 ± 0.0937,1.6877 ± 0.4063,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.12074 ± 0.00085,,,,,
BPI12,transformer,32.0,128.0,10.0,,5.0,128.0,0.001,2.0,lstm,sum,0.1,5.0,537245.0,537245.0,2.672371748457272,0.0281777141103336,0.7562410637689447,0.0246091810117319,0.7139279344199828,0.1076953807024386,2.8388388076986217,0.1208858722685533,1.3671300513184614,0.049511618976828,0.7686910208750357,0.0160455616442618,0.6634502013138033,0.038324775807774,2.6204349439144816,0.1508184918612696,1.3364331371994882,0.0160261251434695,BPI12,Transformer,0.7562 ± 0.0246,0.7139 ± 0.1077,2.8388 ± 0.1209,1.3671 ± 0.0495,0.7687 ± 0.016,0.6635 ± 0.0383,2.6204 ± 0.1508,1.3364 ± 0.016,0.00758 ± 0.00008,,,,,5.4e+05 (100%)
