log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Setting,lora_alpha,r,few_shot_k
BPI17,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.7978640272435835,0.0999885072585203,0.7321342096160498,0.0830703414042649,0.7484118262240302,0.2440798814027457,0.6359407673498756,0.0159778311897802,0.9040581140073114,0.126879755708504,0.7712861415752742,0.0789277772618712,0.6419109019495395,0.2396366924064157,0.5962792518451121,0.0074747780633603,0.8387488357534425,0.1009332909326214,BPI17,GPT-Neo-1.3B,0.7321 ± 0.0831,0.7484 ± 0.2441,0.6359 ± 0.016,0.9041 ± 0.1269,0.7713 ± 0.0789,0.6419 ± 0.2396,0.5963 ± 0.0075,0.8387 ± 0.1009,LoRA,512.0,256.0,
BPI17,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.835726881539365,0.0649361555672902,0.8030900495791536,0.0589534010184516,0.5790081507316786,0.1809285899203911,1.2874553872240146,0.0508131207534363,0.987540302230946,0.0230062513336785,0.8699432315299,0.0042954598132005,0.359257814047705,0.0062317083137681,0.6522985216218457,0.0194703710839021,0.7667603821093764,0.0218417887391035,BPI17,GPT2,0.8031 ± 0.059,0.579 ± 0.1809,1.2875 ± 0.0508,0.9875 ± 0.023,0.8699 ± 0.0043,0.3593 ± 0.0062,0.6523 ± 0.0195,0.7668 ± 0.0218,LoRA,512.0,256.0,
BPI17,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2.848873725738046,0.0429233817425092,0.8124680380626828,0.0383687637969495,0.5245965805341932,0.0993937341051053,1.2952726560949397,0.1334438717180218,0.937095635593208,0.0575439807371096,0.8427852496930976,0.0174151506783694,0.4366543034838198,0.0407355878920943,0.6500059045959319,0.0217620089079307,0.8060667556970298,0.0269300089379188,BPI17,Gemma-2-2B,0.8125 ± 0.0384,0.5246 ± 0.0994,1.2953 ± 0.1334,0.9371 ± 0.0575,0.8428 ± 0.0174,0.4367 ± 0.0407,0.65 ± 0.0218,0.8061 ± 0.0269,LoRA,512.0,256.0,
BPI17,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.882661106218793,0.0530658026280642,0.7992471564897144,0.0459315674303461,0.6062892019916456,0.1169286421910908,0.6557092607312803,0.0300661830133336,0.7264963763065185,0.0237895687915354,0.8408963585434173,0.0160335244181109,0.4854206455391718,0.059184668868931,0.6212810165756417,0.0191238785299477,0.710624336101773,0.0215319733273578,BPI17,Llama3.2-1B,0.7992 ± 0.0459,0.6063 ± 0.1169,0.6557 ± 0.0301,0.7265 ± 0.0238,0.8409 ± 0.016,0.4854 ± 0.0592,0.6213 ± 0.0191,0.7106 ± 0.0215,LoRA,512.0,256.0,
BPI17,majority,,,,,,,,,,,,1.0,2.105607126067348,,0.1522812514836443,,6.790768282783187,,1.0962950138013363,,1.212539089370355,,0.1522812514836443,,6.790768282783187,,1.0962950138013363,,1.212539089370355,,BPI17,Majority,0.1523 ± nan,6.7908 ± nan,1.0963 ± nan,1.2125 ± nan,0.1523 ± nan,6.7908 ± nan,1.0963 ± nan,1.2125 ± nan,,,,
BPI17,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,2.94728706518453,0.0062387219981255,0.8541152054041957,0.0042878058788563,0.4263867459572175,0.0098252019640906,0.6289666391290754,0.0300352996195458,0.6963743177355688,0.0392217297424776,0.8604031443085708,0.0016001491052605,0.4020683307331928,0.0075694324905751,0.6106025315161568,0.0063169336659681,0.6791720759607388,0.0193007865479562,BPI17,Qwen2.5-0.5B,0.8541 ± 0.0043,0.4264 ± 0.0098,0.629 ± 0.03,0.6964 ± 0.0392,0.8604 ± 0.0016,0.4021 ± 0.0076,0.6106 ± 0.0063,0.6792 ± 0.0193,LoRA,512.0,256.0,
BPI17,rnn,256.0,32.0,25.0,,5.0,512.0,0.0001,1.0,lstm,sum,0.01,5.0,2.940085607071805,0.0030021481191991,0.853501400560224,0.0013044490673743,0.4192780922617988,0.0068314619000136,0.6724594545180361,0.0325222436325643,0.7628720628876551,0.0158525915430104,0.8535319212430735,0.0013133253293614,0.4192780922617988,0.0068314619000136,0.6097410395567124,0.013809822104006,0.7628720628876551,0.0158525915430104,BPI17,RNN,0.8535 ± 0.0013,0.4193 ± 0.0068,0.6725 ± 0.0325,0.7629 ± 0.0159,0.8535 ± 0.0013,0.4193 ± 0.0068,0.6097 ± 0.0138,0.7629 ± 0.0159,,,,
BPI17,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.651903943876178,0.0498764678963344,0.6472,0.0267595777246203,,,1.3056370600137264,0.2772618582029237,1.128714511147916,0.1968505091824076,,,,,,,,,BPI17,SAP-RPT,0.6472 ± 0.0268,nan ± nan,1.3056 ± 0.2773,1.1287 ± 0.1969,nan ± nan,nan ± nan,nan ± nan,nan ± nan,,,,
BPI17,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.657404529545433,0.0334355107857833,0.669,0.0194036079119322,,,1.601086188018281,0.0589439331792673,1.167857918380972,0.2365907320127172,,,,,,,,,BPI17,TabPFN,0.669 ± 0.0194,nan ± nan,1.6011 ± 0.0589,1.1679 ± 0.2366,nan ± nan,nan ± nan,nan ± nan,nan ± nan,,,,
BPI17,transformer,32.0,128.0,10.0,,5.0,128.0,0.001,1.0,lstm,sum,0.1,5.0,2.908145962127345,0.008141317655357,0.8556473436832359,0.0057850235787125,0.4141087585308886,0.0136458422910061,1.1559762054898095,0.0802980366551852,0.8836000441871,0.0296258770685306,0.8595967200439498,0.0024366128032998,0.4070300662720729,0.0141575653923094,1.134263850866088,0.0846723104080689,0.8432907420035678,0.0401333184394043,BPI17,Transformer,0.8556 ± 0.0058,0.4141 ± 0.0136,1.156 ± 0.0803,0.8836 ± 0.0296,0.8596 ± 0.0024,0.407 ± 0.0142,1.1343 ± 0.0847,0.8433 ± 0.0401,,,,
