log,backbone,Setting,total_params,trainable_params,trainable_percent,trainable_percent_fmt,total_params_fmt,"# params
(%trainable)",Dataset,Backbone_pretty
BPI17,gptneo-1b3,FewShot-Freezing,1315733534.0,157726.0,0.011987685646385601,0.0%,1.3e+09,1.3e+09 (0.0%),BPI17,GPT-Neo-1.3B
BPI17,gptneo-1b3,FewShot-LoRA,1366065182.0,50489374.0,3.6959710755588238,3.7%,1.4e+09,1.4e+09 (3.7%),BPI17,GPT-Neo-1.3B
BPI17,gptneo-1b3,Freezing,1315733534.0,157726.0,0.011987685646385601,0.0%,1.3e+09,1.3e+09 (0.0%),BPI17,GPT-Neo-1.3B
BPI17,gptneo-1b3,"Freezing-[-1, -2]",1315733534.0,100861982.0,7.665836538601136,7.7%,1.3e+09,1.3e+09 (7.7%),BPI17,GPT-Neo-1.3B
BPI17,gptneo-1b3,Freezing-[-1],1315733534.0,50509854.0,3.838912112123761,3.8%,1.3e+09,1.3e+09 (3.8%),BPI17,GPT-Neo-1.3B
BPI17,gptneo-1b3,"Freezing-[0, 1]",1315733534.0,100861982.0,7.665836538601136,7.7%,1.3e+09,1.3e+09 (7.7%),BPI17,GPT-Neo-1.3B
BPI17,gptneo-1b3,Freezing-[0],1315733534.0,50509854.0,3.838912112123761,3.8%,1.3e+09,1.3e+09 (3.8%),BPI17,GPT-Neo-1.3B
BPI17,gptneo-1b3,LoRA,1322024990.0,6449182.0,0.4878260281600274,0.5%,1.3e+09,1.3e+09 (0.5%),BPI17,GPT-Neo-1.3B
BPI17,gptneo-1b3,ZeroShot,1315733534.0,157726.0,0.011987685646385601,0.0%,1.3e+09,1.3e+09 (0.0%),BPI17,GPT-Neo-1.3B
BPI17,gpt2,FewShot-Freezing,124498974.0,59166.0,0.04752328320392424,0.0%,1.2e+08,1.2e+08 (0.0%),BPI17,GPT2
BPI17,gpt2,FewShot-LoRA,162247710.0,37807902.0,23.30257974057076,23.3%,1.6e+08,1.6e+08 (23.3%),BPI17,GPT2
BPI17,gpt2,Freezing,124498974.0,59166.0,0.04752328320392424,0.0%,1.2e+08,1.2e+08 (0.0%),BPI17,GPT2
BPI17,gpt2,"Freezing-[-1, -2]",124498974.0,14234910.0,11.433756875779554,11.4%,1.2e+08,1.2e+08 (11.4%),BPI17,GPT2
BPI17,gpt2,Freezing-[-1],124498974.0,7147038.0,5.740640079491739,5.7%,1.2e+08,1.2e+08 (5.7%),BPI17,GPT2
BPI17,gpt2,"Freezing-[0, 1]",124498974.0,14234910.0,11.433756875779554,11.4%,1.2e+08,1.2e+08 (11.4%),BPI17,GPT2
BPI17,gpt2,Freezing-[0],124498974.0,7147038.0,5.740640079491739,5.7%,1.2e+08,1.2e+08 (5.7%),BPI17,GPT2
BPI17,gpt2,LoRA,143373342.0,18933534.0,13.205756199782245,13.2%,1.4e+08,1.4e+08 (13.2%),BPI17,GPT2
BPI17,gpt2,ZeroShot,124498974.0,59166.0,0.04752328320392424,0.0%,1.2e+08,1.2e+08 (0.0%),BPI17,GPT2
BPI17,gemma-2-2b,FewShot-Freezing,2614519326.0,419358.0,0.01603958310155555,0.0%,2.6e+09,2.6e+09 (0.0%),BPI17,Gemma-2-2B
BPI17,gemma-2-2b,FewShot-LoRA,2946786846.0,332444958.0,11.281608591787503,11.3%,2.9e+09,2.9e+09 (11.3%),BPI17,Gemma-2-2B
BPI17,gemma-2-2b,Freezing,2614519326.0,419358.0,0.01603958310155555,0.0%,2.6e+09,2.6e+09 (0.0%),BPI17,Gemma-2-2B
BPI17,gemma-2-2b,"Freezing-[-1, -2]",2614519326.0,156132894.0,5.971762857032329,6.0%,2.6e+09,2.6e+09 (6.0%),BPI17,Gemma-2-2B
BPI17,gemma-2-2b,Freezing-[-1],2614519326.0,78276126.0,2.993901220066942,3.0%,2.6e+09,2.6e+09 (3.0%),BPI17,Gemma-2-2B
BPI17,gemma-2-2b,"Freezing-[0, 1]",2614519326.0,156132894.0,5.971762857032329,6.0%,2.6e+09,2.6e+09 (6.0%),BPI17,Gemma-2-2B
BPI17,gemma-2-2b,Freezing-[0],2614519326.0,78276126.0,2.993901220066942,3.0%,2.6e+09,2.6e+09 (3.0%),BPI17,Gemma-2-2B
BPI17,gemma-2-2b,LoRA,2635286046.0,20944158.0,0.7947584298027283,0.8%,2.6e+09,2.6e+09 (0.8%),BPI17,Gemma-2-2B
BPI17,gemma-2-2b,ZeroShot,2614519326.0,419358.0,0.01603958310155555,0.0%,2.6e+09,2.6e+09 (0.0%),BPI17,Gemma-2-2B
BPI17,llama32-1b,FewShot-Freezing,1235972126.0,225310.0,0.018229375506159273,0.0%,1.2e+09,1.2e+09 (0.0%),BPI17,Llama3.2-1B
BPI17,llama32-1b,FewShot-LoRA,1416327198.0,180512798.0,12.745133910787187,12.7%,1.4e+09,1.4e+09 (12.7%),BPI17,Llama3.2-1B
BPI17,llama32-1b,Freezing,1235972126.0,225310.0,0.018229375506159273,0.0%,1.2e+09,1.2e+09 (0.0%),BPI17,Llama3.2-1B
BPI17,llama32-1b,"Freezing-[-1, -2]",1235972126.0,121860126.0,9.859455843424094,9.9%,1.2e+09,1.2e+09 (9.9%),BPI17,Llama3.2-1B
BPI17,llama32-1b,Freezing-[-1],1235972126.0,61042718.0,4.9388426094651265,4.9%,1.2e+09,1.2e+09 (4.9%),BPI17,Llama3.2-1B
BPI17,llama32-1b,"Freezing-[0, 1]",1235972126.0,121860126.0,9.859455843424094,9.9%,1.2e+09,1.2e+09 (9.9%),BPI17,Llama3.2-1B
BPI17,llama32-1b,Freezing-[0],1235972126.0,61042718.0,4.9388426094651265,4.9%,1.2e+09,1.2e+09 (4.9%),BPI17,Llama3.2-1B
BPI17,llama32-1b,LoRA,1326149662.0,90335262.0,6.811845192778852,6.8%,1.3e+09,1.3e+09 (6.8%),BPI17,Llama3.2-1B
BPI17,llama32-1b,ZeroShot,1235972126.0,225310.0,0.018229375506159273,0.0%,1.2e+09,1.2e+09 (0.0%),BPI17,Llama3.2-1B
BPI17,majority,,1.0,1.0,100.0,100.0%,1.e+00,1.e+00 (100.0%),BPI17,Majority
BPI17,qwen25-05b,FewShot-Freezing,494101790.0,112926.0,0.022854804877351285,0.0%,4.9e+08,4.9e+08 (0.0%),BPI17,Qwen2.5-0.5B
BPI17,qwen25-05b,FewShot-LoRA,634873118.0,140840350.0,22.184015357852967,22.2%,6.3e+08,6.3e+08 (22.2%),BPI17,Qwen2.5-0.5B
BPI17,qwen25-05b,Freezing,494101790.0,112926.0,0.022854804877351285,0.0%,4.9e+08,4.9e+08 (0.0%),BPI17,Qwen2.5-0.5B
BPI17,qwen25-05b,"Freezing-[-1, -2]",494101790.0,29934110.0,6.05828811103882,6.1%,4.9e+08,4.9e+08 (6.1%),BPI17,Qwen2.5-0.5B
BPI17,qwen25-05b,Freezing-[-1],494101790.0,15023518.0,3.040571457958086,3.0%,4.9e+08,4.9e+08 (3.0%),BPI17,Qwen2.5-0.5B
BPI17,qwen25-05b,"Freezing-[0, 1]",494101790.0,29934110.0,6.05828811103882,6.1%,4.9e+08,4.9e+08 (6.1%),BPI17,Qwen2.5-0.5B
BPI17,qwen25-05b,Freezing-[0],494101790.0,15023518.0,3.040571457958086,3.0%,4.9e+08,4.9e+08 (3.0%),BPI17,Qwen2.5-0.5B
BPI17,qwen25-05b,LoRA,564487454.0,70454686.0,12.48117836822641,12.5%,5.6e+08,5.6e+08 (12.5%),BPI17,Qwen2.5-0.5B
BPI17,qwen25-05b,ZeroShot,494101790.0,112926.0,0.022854804877351285,0.0%,4.9e+08,4.9e+08 (0.0%),BPI17,Qwen2.5-0.5B
BPI17,rnn,,1137982.0,1137982.0,100.0,100.0%,1.1e+06,1.1e+06 (100.0%),BPI17,RNN
BPI17,transformer,,339230.0,339230.0,100.0,100.0%,3.4e+05,3.4e+05 (100.0%),BPI17,Transformer
