log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,_runtime_mean,_runtime_std
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.571563956415891,0.2151132905762525,0.5680000000000001,0.1717857219938632,1.38929909377523,0.7122835188936438,1.0885034526031796,0.2440477154925937,1.1930101926255934,0.2147007309514867,0.7140990099009901,0.018742655327164,0.8969048076856254,0.0967092481679341,0.9218774018429292,0.0498809221838546,0.9802395177784532,0.0298506378893427,BPI20PTC,GPT-Neo-1.3B,0.568 ± 0.1718,1.3893 ± 0.7123,1.0885 ± 0.244,1.193 ± 0.2147,0.7141 ± 0.0187,0.8969 ± 0.0967,0.9219 ± 0.0499,0.9802 ± 0.0299,,LoRA,512.0,256.0,,134.11731879899995,1.0286845846739077
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.7525585480774217,0.0445226536309504,0.708039603960396,0.0382820473012346,0.8119089606823309,0.1423289236585111,0.91159526388716,0.0345564303359377,0.9537075335247682,0.0418230363476615,0.7157227722772277,0.0310182708125954,0.7786139311837678,0.121334197886284,0.882720986215195,0.0103346005521549,0.9216027977820672,0.0242060773707605,BPI20PTC,GPT2,0.708 ± 0.0383,0.8119 ± 0.1423,0.9116 ± 0.0346,0.9537 ± 0.0418,0.7157 ± 0.031,0.7786 ± 0.1213,0.8827 ± 0.0103,0.9216 ± 0.0242,,LoRA,512.0,256.0,,135.9070070162,4.566669559889125
BPI20PrepaidTravelCosts,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2.614528693302685,0.0389125770046822,0.616,0.0235358009858655,1.1273842065357926,0.1096926183200567,1.2338594445332445,0.4973054959091793,1.234573635290165,0.3243238976504218,0.6671683168316832,0.0235003707366985,1.0157718698010587,0.0270306083095699,0.8568789121892191,0.0198604150627339,1.0157973462661896,0.0231951401936932,BPI20PTC,Gemma-2-2B,0.616 ± 0.0235,1.1274 ± 0.1097,1.2339 ± 0.4973,1.2346 ± 0.3243,0.6672 ± 0.0235,1.0158 ± 0.027,0.8569 ± 0.0199,1.0158 ± 0.0232,,LoRA,512.0,256.0,,475.5756036117999,37.29160168284656
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.641574793797312,0.303877582933555,0.6286336633663366,0.2501809794884382,1.169165536960753,0.8270576171846492,1.0892010188433203,0.2241997210528321,1.1552290659611768,0.2147562702949564,0.7603168316831683,0.0373687553982169,0.7872227118227741,0.0779829881308056,0.9216630567985008,0.0317913931721436,0.9882099264258204,0.0277749363995269,BPI20PTC,Llama3.2-1B,0.6286 ± 0.2502,1.1692 ± 0.8271,1.0892 ± 0.2242,1.1552 ± 0.2148,0.7603 ± 0.0374,0.7872 ± 0.078,0.9217 ± 0.0318,0.9882 ± 0.0278,,LoRA,512.0,256.0,,343.01158656459995,6.387085971804827
BPI20PrepaidTravelCosts,majority,,,,,,,,,,,,1.0,2.014950066438442,,0.1164356435643564,,7.078860854347154,,1.590166987050878,,1.5882711742892124,,0.1164356435643564,,7.078860854347154,,1.590166987050878,,1.5882711742892124,,BPI20PTC,Majority,0.1164 ± nan,7.0789 ± nan,1.5902 ± nan,1.5883 ± nan,0.1164 ± nan,7.0789 ± nan,1.5902 ± nan,1.5883 ± nan,0.00031 ± nan,,,,,,
BPI20PrepaidTravelCosts,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,2.7063782033672115,0.0691257460156958,0.6702178217821781,0.0618704307481424,1.0025485920292316,0.1983637184067701,0.9725026095645262,0.0871996864465791,0.9626092239795344,0.0343299784395707,0.7916039603960396,0.038728340076308,0.7649617011051367,0.1291488607840019,0.9138075791443928,0.0148725617418165,0.932219868046222,0.0153753325360993,BPI20PTC,Qwen2.5-0.5B,0.6702 ± 0.0619,1.0025 ± 0.1984,0.9725 ± 0.0872,0.9626 ± 0.0343,0.7916 ± 0.0387,0.765 ± 0.1291,0.9138 ± 0.0149,0.9322 ± 0.0154,,LoRA,512.0,256.0,,634.1023556883999,15.674170779412268
BPI20PrepaidTravelCosts,rnn,32.0,128.0,25.0,,5.0,128.0,0.0005,1.0,lstm,sum,0.01,5.0,2.81383452983631,0.0221814021822147,0.7840792079207921,0.0201117357166876,0.6577889085618576,0.0553413362092628,1.0744258266109052,0.0307772366916203,1.1906338566317418,0.0485053504613119,0.7897425742574258,0.013422617119191,0.6548516858733526,0.0492188947647026,0.9536045386437144,0.0270112283979597,1.1238817450646128,0.0216313477715586,BPI20PTC,RNN,0.7841 ± 0.0201,0.6578 ± 0.0553,1.0744 ± 0.0308,1.1906 ± 0.0485,0.7897 ± 0.0134,0.6549 ± 0.0492,0.9536 ± 0.027,1.1239 ± 0.0216,0.00316 ± 0.00005,,,,,,
BPI20PrepaidTravelCosts,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.800367561449547,0.0142147016087387,0.7646000000000001,0.0054129474410897,,,1.0410005188718665,0.0605279994016836,1.0862504213737725,0.2173415886044028,,,,,,,,,BPI20PTC,SAP-RPT,0.7646 ± 0.0054,nan ± nan,1.041 ± 0.0605,1.0863 ± 0.2173,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00448 ± 0.00007,,,,,,
BPI20PrepaidTravelCosts,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.6763358020445924,0.0206968816484129,0.6637000000000001,0.0121016527796826,,,1.1278120679912829,0.0716383276898801,1.1918667024345253,0.2369469344013988,,,,,,,,,BPI20PTC,TabPFN,0.6637 ± 0.0121,nan ± nan,1.1278 ± 0.0716,1.1919 ± 0.2369,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.01156 ± 0.00005,,,,,,
BPI20PrepaidTravelCosts,transformer,32.0,128.0,10.0,,5.0,128.0,0.0005,2.0,lstm,concat,0.1,5.0,2.8063005890635315,0.0102974845862758,0.7820990099009901,0.0061395719469515,0.6682946524667268,0.0117534155965149,1.118715221744953,0.0865413144303367,1.2370345630079214,0.0537306978876648,0.7993663366336634,0.0105475986866723,0.6526530796419275,0.0173627881976603,0.9540593314973436,0.0333541077009263,1.0688097460057475,0.01149113150666,BPI20PTC,Transformer,0.7821 ± 0.0061,0.6683 ± 0.0118,1.1187 ± 0.0865,1.237 ± 0.0537,0.7994 ± 0.0105,0.6527 ± 0.0174,0.9541 ± 0.0334,1.0688 ± 0.0115,0.00162 ± 0.00003,,,,,,
