log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,_runtime_mean,_runtime_std
BPI20RequestForPayment,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.8726033233915637,0.0223555641559276,0.3005683815355683,0.0283235135004929,0.6833802576448375,0.0234943050678562,0.7609890326470276,0.0234008836337029,0.8911518250248545,0.000326966749985,0.2683804454053097,0.0054891764029637,0.649257641328937,0.01123650977136,0.7414387598309966,0.0126061995433436,BPI20RfP,GPT-Neo-1.3B,0.8726 ± 0.0224,0.3006 ± 0.0283,0.6834 ± 0.0235,0.761 ± 0.0234,0.8912 ± 0.0003,0.2684 ± 0.0055,0.6493 ± 0.0112,0.7414 ± 0.0126,,LoRA,512.0,256.0,,405.1727796918,4.109878404715171
BPI20RequestForPayment,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.8875159778440563,0.0044085068016386,0.2666905755431895,0.0028298892711374,0.6715933867602029,0.0082310193402706,0.7492116498263142,0.0091952958335174,0.8918051413151542,0.0008662377890627,0.2627627090607968,0.0026698217719154,0.65577054553336,0.0041984957906152,0.7462563027917043,0.0072279368036708,BPI20RfP,GPT2,0.8875 ± 0.0044,0.2667 ± 0.0028,0.6716 ± 0.0082,0.7492 ± 0.0092,0.8918 ± 0.0009,0.2628 ± 0.0027,0.6558 ± 0.0042,0.7463 ± 0.0072,,LoRA,512.0,256.0,,461.956420828,15.86468116648112
BPI20RequestForPayment,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.8813236756142594,0.0111905647160104,0.2725046750954345,0.0039068226319757,0.6921859053010511,0.0211067774230602,0.7321116000545109,0.0086877395325978,0.8935378497372533,0.0014711789987307,0.2705163591609999,0.0021356562045104,0.6635815161802674,0.0137386127826416,0.7309759007209979,0.0082253026802267,BPI20RfP,Gemma-2-2B,0.8813 ± 0.0112,0.2725 ± 0.0039,0.6922 ± 0.0211,0.7321 ± 0.0087,0.8935 ± 0.0015,0.2705 ± 0.0021,0.6636 ± 0.0137,0.731 ± 0.0082,,LoRA,512.0,256.0,,1398.6767570736,32.72382159414417
BPI20RequestForPayment,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.8770913222553615,0.0191517285997593,0.2848303956989537,0.0134488081604147,0.6937281896065387,0.0252991114121984,0.7789918778752285,0.0363742047687084,0.8922880272688539,0.0016611494409559,0.2734068678617646,0.0053237871573758,0.6568053584023643,0.0099326918869354,0.74458394407498,0.0139024896457077,BPI20RfP,Llama3.2-1B,0.8771 ± 0.0192,0.2848 ± 0.0134,0.6937 ± 0.0253,0.779 ± 0.0364,0.8923 ± 0.0017,0.2734 ± 0.0053,0.6568 ± 0.0099,0.7446 ± 0.0139,,LoRA,512.0,256.0,,588.9900063956,7.055872567784897
BPI20RequestForPayment,majority,,,,,,,,,,,,1.0,2.1330509957945414,,0.1690100837949155,,6.653940758571725,,1.1543232327648023,,1.017934673229684,,0.1690100837949155,,6.653940758571725,,1.1543232327648023,,1.017934673229684,,BPI20RfP,Majority,0.169 ± nan,6.6539 ± nan,1.1543 ± nan,1.0179 ± nan,0.169 ± nan,6.6539 ± nan,1.1543 ± nan,1.0179 ± nan,0.00585 ± nan,,,,,,
BPI20RequestForPayment,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.8878000284050561,0.0045058065840691,0.2661623828808297,0.0035238109570064,0.661901825826423,0.0137197582710763,0.739873139754291,0.0179314806283082,0.8913790654736543,0.000367623323549,0.2637100182885287,0.00126441657022,0.6465461582982426,0.0044671326036483,0.7347527987644458,0.0080402329694571,BPI20RfP,Qwen2.5-0.5B,0.8878 ± 0.0045,0.2662 ± 0.0035,0.6619 ± 0.0137,0.7399 ± 0.0179,0.8914 ± 0.0004,0.2637 ± 0.0013,0.6465 ± 0.0045,0.7348 ± 0.008,,LoRA,512.0,256.0,,747.2754743628,7.358384781815405
BPI20RequestForPayment,rnn,32.0,32.0,25.0,,5.0,512.0,0.0001,1.0,lstm,sum,0.01,5.0,2.9673364888531766,0.0268619074593647,0.8777162334895612,0.0233608921714435,0.367771171680348,0.038677423678367,0.6826249752307444,0.0212973052494242,0.7503616593876543,0.0087771239047821,0.886038914926857,0.011359625510558,0.364660621451275,0.037572515128594,0.6794998904280899,0.0218834237971679,0.7443703159624296,0.0072432488040495,BPI20RfP,RNN,0.8777 ± 0.0234,0.3678 ± 0.0387,0.6826 ± 0.0213,0.7504 ± 0.0088,0.886 ± 0.0114,0.3647 ± 0.0376,0.6795 ± 0.0219,0.7444 ± 0.0072,0.00952 ± 0.00008,,,,,,
BPI20RequestForPayment,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.8221350978508672,0.0143784714106597,0.7434000000000001,0.0096267855486657,,,0.63826056326269,0.0254690376812282,0.7122186495675882,0.0768663240602768,,,,,,,,,BPI20RfP,SAP-RPT,0.7434 ± 0.0096,nan ± nan,0.6383 ± 0.0255,0.7122 ± 0.0769,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00452 ± 0.00017,,,,,,
BPI20RequestForPayment,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.818103356298627,0.0136051911444982,0.7439,0.0087635609200826,,,0.7148282473720393,0.0340331126134479,0.7175835938034503,0.071876034914163,,,,,,,,,BPI20RfP,TabPFN,0.7439 ± 0.0088,nan ± nan,0.7148 ± 0.034,0.7176 ± 0.0719,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.03380 ± 0.00020,,,,,,
BPI20RequestForPayment,transformer,32.0,128.0,10.0,,5.0,128.0,0.001,2.0,lstm,sum,0.1,5.0,2.9872105614378217,0.0018449150179799,0.8937082800738532,0.0013193835151249,0.271948819525488,0.0012299376767435,0.6571291461517113,0.0089959560353555,0.7407191007690257,0.0091413144919646,0.8954409884959524,0.0009809002499549,0.2638618795662809,0.001152330342205,0.6437652630826963,0.0041830610869489,0.7187182447175854,0.0036573477451596,BPI20RfP,Transformer,0.8937 ± 0.0013,0.2719 ± 0.0012,0.6571 ± 0.009,0.7407 ± 0.0091,0.8954 ± 0.001,0.2639 ± 0.0012,0.6438 ± 0.0042,0.7187 ± 0.0037,0.00471 ± 0.00003,,,,,,
