log,backbone,Setting,total_params,trainable_params,trainable_percent,trainable_percent_fmt,total_params_fmt,"# params
(%trainable)",Dataset,Backbone_pretty
BPI20RequestForPayment,gptneo-1b3,FewShot-Freezing,1315696661.0,120853.0,0.009185475921793801,0.0%,1.3e+09,1.3e+09 (0.0%),BPI20RfP,GPT-Neo-1.3B
BPI20RequestForPayment,gptneo-1b3,FewShot-LoRA,1366028309.0,50452501.0,3.6933715551571344,3.7%,1.4e+09,1.4e+09 (3.7%),BPI20RfP,GPT-Neo-1.3B
BPI20RequestForPayment,gptneo-1b3,Freezing,1315696661.0,120853.0,0.009185475921793801,0.0%,1.3e+09,1.3e+09 (0.0%),BPI20RfP,GPT-Neo-1.3B
BPI20RequestForPayment,gptneo-1b3,"Freezing-[-1, -2]",1315696661.0,100825109.0,7.663248831487306,7.7%,1.3e+09,1.3e+09 (7.7%),BPI20RfP,GPT-Neo-1.3B
BPI20RequestForPayment,gptneo-1b3,Freezing-[-1],1315696661.0,50472981.0,3.83621715370455,3.8%,1.3e+09,1.3e+09 (3.8%),BPI20RfP,GPT-Neo-1.3B
BPI20RequestForPayment,gptneo-1b3,"Freezing-[0, 1]",1315696661.0,100825109.0,7.663248831487306,7.7%,1.3e+09,1.3e+09 (7.7%),BPI20RfP,GPT-Neo-1.3B
BPI20RequestForPayment,gptneo-1b3,Freezing-[0],1315696661.0,50472981.0,3.83621715370455,3.8%,1.3e+09,1.3e+09 (3.8%),BPI20RfP,GPT-Neo-1.3B
BPI20RequestForPayment,gptneo-1b3,LoRA,1340862485.0,25286677.0,1.8858516278050692,1.9%,1.3e+09,1.3e+09 (1.9%),BPI20RfP,GPT-Neo-1.3B
BPI20RequestForPayment,gptneo-1b3,ZeroShot,1315696661.0,120853.0,0.009185475921793801,0.0%,1.3e+09,1.3e+09 (0.0%),BPI20RfP,GPT-Neo-1.3B
BPI20RequestForPayment,gpt2,FewShot-Freezing,124485141.0,45333.0,0.03641639446751319,0.0%,1.2e+08,1.2e+08 (0.0%),BPI20RfP,GPT2
BPI20RequestForPayment,gpt2,FewShot-LoRA,162233877.0,37794069.0,23.296040074293483,23.3%,1.6e+08,1.6e+08 (23.3%),BPI20RfP,GPT2
BPI20RequestForPayment,gpt2,Freezing,124485141.0,45333.0,0.03641639446751319,0.0%,1.2e+08,1.2e+08 (0.0%),BPI20RfP,GPT2
BPI20RequestForPayment,gpt2,"Freezing-[-1, -2]",124485141.0,14221077.0,11.423915244631486,11.4%,1.2e+08,1.2e+08 (11.4%),BPI20RfP,GPT2
BPI20RequestForPayment,gpt2,Freezing-[-1],124485141.0,7133205.0,5.7301658195495,5.7%,1.2e+08,1.2e+08 (5.7%),BPI20RfP,GPT2
BPI20RequestForPayment,gpt2,"Freezing-[0, 1]",124485141.0,14221077.0,11.423915244631486,11.4%,1.2e+08,1.2e+08 (11.4%),BPI20RfP,GPT2
BPI20RequestForPayment,gpt2,Freezing-[0],124485141.0,7133205.0,5.7301658195495,5.7%,1.2e+08,1.2e+08 (5.7%),BPI20RfP,GPT2
BPI20RequestForPayment,gpt2,LoRA,129203733.0,4763925.0,3.687141918724593,3.7%,1.3e+08,1.3e+08 (3.7%),BPI20RfP,GPT2
BPI20RequestForPayment,gpt2,ZeroShot,124485141.0,45333.0,0.03641639446751319,0.0%,1.2e+08,1.2e+08 (0.0%),BPI20RfP,GPT2
BPI20RequestForPayment,gemma-2-2b,FewShot-Freezing,2614477845.0,377877.0,0.014453249268210953,0.0%,2.6e+09,2.6e+09 (0.0%),BPI20RfP,Gemma-2-2B
BPI20RequestForPayment,gemma-2-2b,FewShot-LoRA,2946745365.0,332403477.0,11.280359713062618,11.3%,2.9e+09,2.9e+09 (11.3%),BPI20RfP,Gemma-2-2B
BPI20RequestForPayment,gemma-2-2b,Freezing,2614477845.0,377877.0,0.014453249268210953,0.0%,2.6e+09,2.6e+09 (0.0%),BPI20RfP,Gemma-2-2B
BPI20RequestForPayment,gemma-2-2b,"Freezing-[-1, -2]",2614477845.0,156091413.0,5.970271016008552,6.0%,2.6e+09,2.6e+09 (6.0%),BPI20RfP,Gemma-2-2B
BPI20RequestForPayment,gemma-2-2b,Freezing-[-1],2614477845.0,78234645.0,2.9923621326383816,3.0%,2.6e+09,2.6e+09 (3.0%),BPI20RfP,Gemma-2-2B
BPI20RequestForPayment,gemma-2-2b,"Freezing-[0, 1]",2614477845.0,156091413.0,5.970271016008552,6.0%,2.6e+09,2.6e+09 (6.0%),BPI20RfP,Gemma-2-2B
BPI20RequestForPayment,gemma-2-2b,Freezing-[0],2614477845.0,78234645.0,2.9923621326383816,3.0%,2.6e+09,2.6e+09 (3.0%),BPI20RfP,Gemma-2-2B
BPI20RequestForPayment,gemma-2-2b,LoRA,2635244565.0,20902677.0,0.7931968545773284,0.8%,2.6e+09,2.6e+09 (0.8%),BPI20RfP,Gemma-2-2B
BPI20RequestForPayment,gemma-2-2b,ZeroShot,2614477845.0,377877.0,0.014453249268210953,0.0%,2.6e+09,2.6e+09 (0.0%),BPI20RfP,Gemma-2-2B
BPI20RequestForPayment,llama32-1b,FewShot-Freezing,1235935253.0,188437.0,0.015246510651962121,0.0%,1.2e+09,1.2e+09 (0.0%),BPI20RfP,Llama3.2-1B
BPI20RequestForPayment,llama32-1b,FewShot-LoRA,1416290325.0,180475925.0,12.742862237655968,12.7%,1.4e+09,1.4e+09 (12.7%),BPI20RfP,Llama3.2-1B
BPI20RequestForPayment,llama32-1b,Freezing,1235935253.0,188437.0,0.015246510651962121,0.0%,1.2e+09,1.2e+09 (0.0%),BPI20RfP,Llama3.2-1B
BPI20RequestForPayment,llama32-1b,"Freezing-[-1, -2]",1235935253.0,121823253.0,9.856766582577608,9.9%,1.2e+09,1.2e+09 (9.9%),BPI20RfP,Llama3.2-1B
BPI20RequestForPayment,llama32-1b,Freezing-[-1],1235935253.0,61005845.0,4.936006546614784,4.9%,1.2e+09,1.2e+09 (4.9%),BPI20RfP,Llama3.2-1B
BPI20RequestForPayment,llama32-1b,"Freezing-[0, 1]",1235935253.0,121823253.0,9.856766582577608,9.9%,1.2e+09,1.2e+09 (9.9%),BPI20RfP,Llama3.2-1B
BPI20RequestForPayment,llama32-1b,Freezing-[0],1235935253.0,61005845.0,4.936006546614784,4.9%,1.2e+09,1.2e+09 (4.9%),BPI20RfP,Llama3.2-1B
BPI20RequestForPayment,llama32-1b,LoRA,1326112789.0,90298389.0,6.809254065643431,6.8%,1.3e+09,1.3e+09 (6.8%),BPI20RfP,Llama3.2-1B
BPI20RequestForPayment,llama32-1b,ZeroShot,1235935253.0,188437.0,0.015246510651962121,0.0%,1.2e+09,1.2e+09 (0.0%),BPI20RfP,Llama3.2-1B
BPI20RequestForPayment,majority,,1.0,1.0,100.0,100.0%,1.e+00,1.e+00 (100.0%),BPI20RfP,Majority
BPI20RequestForPayment,qwen25-05b,FewShot-Freezing,494085653.0,96789.0,0.019589518418985544,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20RfP,Qwen2.5-0.5B
BPI20RequestForPayment,qwen25-05b,FewShot-LoRA,634856981.0,140824213.0,22.182037405996486,22.2%,6.3e+08,6.3e+08 (22.2%),BPI20RfP,Qwen2.5-0.5B
BPI20RequestForPayment,qwen25-05b,Freezing,494085653.0,96789.0,0.019589518418985544,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20RfP,Qwen2.5-0.5B
BPI20RequestForPayment,qwen25-05b,"Freezing-[-1, -2]",494085653.0,29917973.0,6.055219943818122,6.1%,4.9e+08,4.9e+08 (6.1%),BPI20RfP,Qwen2.5-0.5B
BPI20RequestForPayment,qwen25-05b,Freezing-[-1],494085653.0,15007381.0,3.0374047311185537,3.0%,4.9e+08,4.9e+08 (3.0%),BPI20RfP,Qwen2.5-0.5B
BPI20RequestForPayment,qwen25-05b,"Freezing-[0, 1]",494085653.0,29917973.0,6.055219943818122,6.1%,4.9e+08,4.9e+08 (6.1%),BPI20RfP,Qwen2.5-0.5B
BPI20RequestForPayment,qwen25-05b,Freezing-[0],494085653.0,15007381.0,3.0374047311185537,3.0%,4.9e+08,4.9e+08 (3.0%),BPI20RfP,Qwen2.5-0.5B
BPI20RequestForPayment,qwen25-05b,LoRA,634856981.0,140824213.0,22.182037405996486,22.2%,6.3e+08,6.3e+08 (22.2%),BPI20RfP,Qwen2.5-0.5B
BPI20RequestForPayment,qwen25-05b,ZeroShot,494085653.0,96789.0,0.019589518418985544,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20RfP,Qwen2.5-0.5B
BPI20RequestForPayment,rnn,,1133077.0,1133077.0,100.0,100.0%,1.1e+06,1.1e+06 (100.0%),BPI20RfP,RNN
