log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k
BPI20TravelPermitData,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.7509294986034645,0.0299046142469874,0.7130534115467737,0.0274053881041898,0.9964516293984133,0.0709650216074002,1.016274202304992,0.0283691486636324,0.9560456900436152,0.0384186125408167,0.7275825872182773,0.0213606096565641,0.9668952553476144,0.0568226138610924,0.9209137091970842,0.0174175601470331,0.9199068083944202,0.0326579233771774,BPI20TPD,GPT-Neo-1.3B,0.7131 ± 0.0274,0.9965 ± 0.071,1.0163 ± 0.0284,0.956 ± 0.0384,0.7276 ± 0.0214,0.9669 ± 0.0568,0.9209 ± 0.0174,0.9199 ± 0.0327,0.16367 ± 0.00062,LoRA,64.0,32.0,
BPI20TravelPermitData,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,10.0,2.776491369236355,0.0066759566665868,0.7221302871256561,0.0059099119109948,0.8958536208253761,0.0329270206472211,0.8467325616066896,0.0125510082008902,0.8585175739993796,0.023064937611993,0.7389194195739426,0.009916413665686,0.8457607720832317,0.0472863814737857,0.8308895701955741,0.0111649416129069,0.8585175739993796,0.023064937611993,BPI20TPD,GPT2,0.7221 ± 0.0059,0.8959 ± 0.0329,0.8467 ± 0.0126,0.8585 ± 0.0231,0.7389 ± 0.0099,0.8458 ± 0.0473,0.8309 ± 0.0112,0.8585 ± 0.0231,0.10170 ± 0.03812,LoRA,512.0,256.0,
BPI20TravelPermitData,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2.691647800467986,0.0090676029354635,0.6603704847175054,0.0069281288812713,1.2064366669756426,0.0551040575424916,1.006620686947103,0.1182114682731223,0.9734137289418818,0.060969859915234,0.6775856745909231,0.0054330741358342,1.0798285391684774,0.0229155536214828,0.8735077599575213,0.0213394421201944,0.8812337396320791,0.0178656612582474,BPI20TPD,Gemma-2-2B,0.6604 ± 0.0069,1.2064 ± 0.0551,1.0066 ± 0.1182,0.9734 ± 0.061,0.6776 ± 0.0054,1.0798 ± 0.0229,0.8735 ± 0.0213,0.8812 ± 0.0179,0.34751 ± 0.00338,LoRA,64.0,32.0,
BPI20TravelPermitData,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.756846019501707,0.0524353585296008,0.7156468045693115,0.045634492571669,0.9610697481815518,0.1256912233729856,1.0139023962871792,0.0720515951111977,0.9090881561651464,0.0216895189779101,0.7541154677369558,0.021496555655034,0.819879065840728,0.0550025099239754,0.8662655732925382,0.0431847339641076,0.8500591056778977,0.0159880147108368,BPI20TPD,Llama3.2-1B,0.7156 ± 0.0456,0.9611 ± 0.1257,1.0139 ± 0.0721,0.9091 ± 0.0217,0.7541 ± 0.0215,0.8199 ± 0.055,0.8663 ± 0.0432,0.8501 ± 0.016,0.17313 ± 0.00069,LoRA,256.0,128.0,
BPI20TravelPermitData,majority,,,,,,,,,,,,1.0,2.0005877435001675,,0.0783883914788515,,7.390187048728027,,1.459291628548745,,1.2475121456003735,,0.0783883914788515,,7.390187048728027,,1.459291628548745,,1.2475121456003735,,BPI20TPD,Majority,0.0784 ± nan,7.3902 ± nan,1.4593 ± nan,1.2475 ± nan,0.0784 ± nan,7.3902 ± nan,1.4593 ± nan,1.2475 ± nan,0.00661 ± nan,,,,
BPI20TravelPermitData,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,2.7756787016010573,0.0528669715822635,0.7299289904291448,0.0445735120781019,0.8893043341876622,0.1057614935475394,0.9580047285751856,0.0318542563837381,0.9123956932481256,0.0392927192495982,0.7652053102809508,0.0150482577700629,0.8080953502861133,0.023793860442463,0.8753829633648582,0.0070845289191773,0.8566068864052735,0.013235591511924,BPI20TPD,Qwen2.5-0.5B,0.7299 ± 0.0446,0.8893 ± 0.1058,0.958 ± 0.0319,0.9124 ± 0.0393,0.7652 ± 0.015,0.8081 ± 0.0238,0.8754 ± 0.0071,0.8566 ± 0.0132,0.54818 ± 0.00341,LoRA,256.0,128.0,
BPI20TravelPermitData,rnn,32.0,256.0,25.0,,5.0,128.0,0.0005,1.0,lstm,sum,0.01,5.0,2.764532140022452,0.0047916243186105,0.7302315529484408,0.0030900266456242,0.9501782341509848,0.0140054375891601,1.009825064036978,0.0382630564874065,1.0520233270186412,0.0307835798388389,0.7314232787897499,0.0026164822886677,0.9380702115724616,0.0158199726438852,0.7631531001977546,0.0399082169797548,0.858504956849897,0.0103603024656375,BPI20TPD,RNN,0.7302 ± 0.0031,0.9502 ± 0.014,1.0098 ± 0.0383,1.052 ± 0.0308,0.7314 ± 0.0026,0.9381 ± 0.0158,0.7632 ± 0.0399,0.8585 ± 0.0104,0.01171 ± 0.00011,,,,
BPI20TravelPermitData,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.719858387999569,0.0110095448792835,0.6869000000000001,0.0130451140278649,,,0.954510239184177,0.0682119781104849,1.042775104326658,0.051510462596359,,,,,,,,,BPI20TPD,SAP-RPT,0.6869 ± 0.013,nan ± nan,0.9545 ± 0.0682,1.0428 ± 0.0515,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00449 ± 0.00005,,,,
BPI20TravelPermitData,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.636214635196854,0.0135016853766657,0.6228999999999999,0.0120124934963562,,,1.0910449512901288,0.0495096093033098,1.1187307654643377,0.0618565698974874,,,,,,,,,BPI20TPD,TabPFN,0.6229 ± 0.012,nan ± nan,1.091 ± 0.0495,1.1187 ± 0.0619,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.12027 ± 0.00014,,,,
BPI20TravelPermitData,transformer,16.0,256.0,10.0,,5.0,256.0,0.0005,2.0,lstm,sum,0.1,5.0,2.773552109305355,0.0043388600906809,0.7183266440259339,0.0019154901887244,0.8406602816274041,0.0143469101302312,0.8087575119503783,0.0386385847766562,0.8716725267514509,0.0301179580520258,0.7190676134609447,0.0022377169594642,0.8368622483821444,0.0146711331598504,0.7828618302894397,0.0103325431527335,0.847311342433118,0.017781594304132,BPI20TPD,Transformer,0.7183 ± 0.0019,0.8407 ± 0.0143,0.8088 ± 0.0386,0.8717 ± 0.0301,0.7191 ± 0.0022,0.8369 ± 0.0147,0.7829 ± 0.0103,0.8473 ± 0.0178,0.00808 ± 0.00005,,,,
