log,backbone,Setting,total_params,trainable_params,trainable_percent,trainable_percent_fmt,total_params_fmt,"# params
(%trainable)",Dataset,Backbone_pretty
BPI20TravelPermitData,gptneo-1b3,FewShot-Freezing,1315835959.0,260151.0,0.01977077752136427,0.0%,1.3e+09,1.3e+09 (0.0%),BPI20TPD,GPT-Neo-1.3B
BPI20TravelPermitData,gptneo-1b3,FewShot-LoRA,1366167607.0,50591799.0,3.7031912293028038,3.7%,1.4e+09,1.4e+09 (3.7%),BPI20TPD,GPT-Neo-1.3B
BPI20TravelPermitData,gptneo-1b3,Freezing,1315835959.0,260151.0,0.01977077752136427,0.0%,1.3e+09,1.3e+09 (0.0%),BPI20TPD,GPT-Neo-1.3B
BPI20TravelPermitData,gptneo-1b3,"Freezing-[-1, -2]",1315835959.0,100964407.0,7.673023852967982,7.7%,1.3e+09,1.3e+09 (7.7%),BPI20TPD,GPT-Neo-1.3B
BPI20TravelPermitData,gptneo-1b3,Freezing-[-1],1315835959.0,50612279.0,3.8463973152446735,3.8%,1.3e+09,1.3e+09 (3.8%),BPI20TPD,GPT-Neo-1.3B
BPI20TravelPermitData,gptneo-1b3,"Freezing-[0, 1]",1315835959.0,100964407.0,7.673023852967982,7.7%,1.3e+09,1.3e+09 (7.7%),BPI20TPD,GPT-Neo-1.3B
BPI20TravelPermitData,gptneo-1b3,Freezing-[0],1315835959.0,50612279.0,3.8463973152446735,3.8%,1.3e+09,1.3e+09 (3.8%),BPI20TPD,GPT-Neo-1.3B
BPI20TravelPermitData,gptneo-1b3,LoRA,1322127415.0,6551607.0,0.49553522040839004,0.5%,1.3e+09,1.3e+09 (0.5%),BPI20TPD,GPT-Neo-1.3B
BPI20TravelPermitData,gptneo-1b3,ZeroShot,1315835959.0,260151.0,0.01977077752136427,0.0%,1.3e+09,1.3e+09 (0.0%),BPI20TPD,GPT-Neo-1.3B
BPI20TravelPermitData,gpt2,FewShot-Freezing,124537399.0,97591.0,0.07836280569823045,0.1%,1.2e+08,1.2e+08 (0.1%),BPI20TPD,GPT2
BPI20TravelPermitData,gpt2,FewShot-LoRA,162286135.0,37846327.0,23.32073963065298,23.3%,1.6e+08,1.6e+08 (23.3%),BPI20TPD,GPT2
BPI20TravelPermitData,gpt2,Freezing,124537399.0,97591.0,0.07836280569823045,0.1%,1.2e+08,1.2e+08 (0.1%),BPI20TPD,GPT2
BPI20TravelPermitData,gpt2,"Freezing-[-1, -2]",124537399.0,14273335.0,11.461083268649283,11.5%,1.2e+08,1.2e+08 (11.5%),BPI20TPD,GPT2
BPI20TravelPermitData,gpt2,Freezing-[-1],124537399.0,7185463.0,5.7697230371737565,5.8%,1.2e+08,1.2e+08 (5.8%),BPI20TPD,GPT2
BPI20TravelPermitData,gpt2,"Freezing-[0, 1]",124537399.0,14273335.0,11.461083268649283,11.5%,1.2e+08,1.2e+08 (11.5%),BPI20TPD,GPT2
BPI20TravelPermitData,gpt2,Freezing-[0],124537399.0,7185463.0,5.7697230371737565,5.8%,1.2e+08,1.2e+08 (5.8%),BPI20TPD,GPT2
BPI20TravelPermitData,gpt2,LoRA,162286135.0,37846327.0,23.32073963065298,23.3%,1.6e+08,1.6e+08 (23.3%),BPI20TPD,GPT2
BPI20TravelPermitData,gpt2,ZeroShot,124537399.0,97591.0,0.07836280569823045,0.1%,1.2e+08,1.2e+08 (0.1%),BPI20TPD,GPT2
BPI20TravelPermitData,gemma-2-2b,FewShot-Freezing,2614634551.0,534583.0,0.020445801872982287,0.0%,2.6e+09,2.6e+09 (0.0%),BPI20TPD,Gemma-2-2B
BPI20TravelPermitData,gemma-2-2b,FewShot-LoRA,2946902071.0,332560183.0,11.285077514881559,11.3%,2.9e+09,2.9e+09 (11.3%),BPI20TPD,Gemma-2-2B
BPI20TravelPermitData,gemma-2-2b,Freezing,2614634551.0,534583.0,0.020445801872982287,0.0%,2.6e+09,2.6e+09 (0.0%),BPI20TPD,Gemma-2-2B
BPI20TravelPermitData,gemma-2-2b,"Freezing-[-1, -2]",2614634551.0,156248119.0,5.975906611508707,6.0%,2.6e+09,2.6e+09 (6.0%),BPI20TPD,Gemma-2-2B
BPI20TravelPermitData,gemma-2-2b,Freezing-[-1],2614634551.0,78391351.0,2.998176206690845,3.0%,2.6e+09,2.6e+09 (3.0%),BPI20TPD,Gemma-2-2B
BPI20TravelPermitData,gemma-2-2b,"Freezing-[0, 1]",2614634551.0,156248119.0,5.975906611508707,6.0%,2.6e+09,2.6e+09 (6.0%),BPI20TPD,Gemma-2-2B
BPI20TravelPermitData,gemma-2-2b,Freezing-[0],2614634551.0,78391351.0,2.998176206690845,3.0%,2.6e+09,2.6e+09 (3.0%),BPI20TPD,Gemma-2-2B
BPI20TravelPermitData,gemma-2-2b,LoRA,2656167991.0,41826103.0,1.5746783765831476,1.6%,2.7e+09,2.7e+09 (1.6%),BPI20TPD,Gemma-2-2B
BPI20TravelPermitData,gemma-2-2b,ZeroShot,2614634551.0,534583.0,0.020445801872982287,0.0%,2.6e+09,2.6e+09 (0.0%),BPI20TPD,Gemma-2-2B
BPI20TravelPermitData,llama32-1b,FewShot-Freezing,1236074551.0,327735.0,0.02651417746080592,0.0%,1.2e+09,1.2e+09 (0.0%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,FewShot-LoRA,1416429623.0,180615223.0,12.751443493355971,12.8%,1.4e+09,1.4e+09 (12.8%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,Freezing,1236074551.0,327735.0,0.02651417746080592,0.0%,1.2e+09,1.2e+09 (0.0%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,"Freezing-[-1, -2]",1236074551.0,121962551.0,9.866925170600005,9.9%,1.2e+09,1.2e+09 (9.9%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,Freezing-[-1],1236074551.0,61145143.0,4.946719674030406,4.9%,1.2e+09,1.2e+09 (4.9%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,"Freezing-[0, 1]",1236074551.0,121962551.0,9.866925170600005,9.9%,1.2e+09,1.2e+09 (9.9%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,Freezing-[0],1236074551.0,61145143.0,4.946719674030406,4.9%,1.2e+09,1.2e+09 (4.9%),BPI20TPD,Llama3.2-1B
