Backbone_pretty,Mode,NA Acc.,RT MSE,NT MSE,Runtime (h),test_next_activity_acc_mean,test_next_activity_acc_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,runtime_h_mean,runtime_h_std
Gemma-2-2B,FS,0.0874 ± 0.1329,1.6820 ± 0.9117,2.0366 ± 0.5292,0.11796 ± 0.22362,0.08736633663366336,0.13294922531239167,1.6820199386158563,0.9117180741463996,2.036642552723521,0.5292015096080176,0.11795901254994444,0.22361786908711592
Gemma-2-2B,LoRA,0.6392 ± 0.1233,1.2339 ± 0.6338,1.0153 ± 0.2905,0.40235 ± 1.55312,0.6391664093856129,0.12330423939059329,1.2338594445332443,0.633847503469797,1.0152530148133114,0.29045836453817936,0.40235150240711115,1.5531202040808625
Gemma-2-2B,ZS,0.0298 ± 0.0080,3.6358 ± 0.9929,2.9560 ± 0.7503,0.00558 ± 0.01554,0.02976122390620532,0.007985750872396462,3.635787930015342,0.992910383557701,2.955976286512768,0.7503025729712595,0.005583985857277778,0.015536543286182486
GPT2,FS,0.0787 ± 0.0714,1.3213 ± 0.5590,1.3901 ± 0.2937,0.01486 ± 0.02606,0.07865346534653465,0.07142338474889269,1.3213035038721443,0.5589923629535752,1.3901373242954491,0.29367939388751235,0.01486277362738889,0.026057089389754866
GPT2,LoRA,0.7221 ± 0.0940,0.9116 ± 0.7926,0.9537 ± 0.2876,0.10170 ± 0.18623,0.7221302871256561,0.09403898619793727,0.91159526388716,0.7926161308235714,0.9537075335247682,0.2875973042768163,0.10170308718194446,0.1862300073918864
GPT2,ZS,0.0393 ± 0.0135,3.7049 ± 1.1187,2.7341 ± 0.9593,0.00117 ± 0.00158,0.03932673267326733,0.01353090477135956,3.704886843459316,1.118697232984727,2.7340900923095024,0.9593188840771911,0.0011746679435,0.0015778942196620679
GPT-Neo-1.3B,FS,0.0638 ± 0.0281,1.1697 ± 0.9413,1.6236 ± 0.3335,0.05076 ± 0.11482,0.06376237623762376,0.028113380101839548,1.1697281475633678,0.941254962174317,1.6236436212202954,0.3334701334682991,0.0507642086045,0.11482197957398331
GPT-Neo-1.3B,LoRA,0.7152 ± 0.1090,0.9855 ± 0.8852,1.0051 ± 0.3293,0.18707 ± 0.74091,0.7152058907635116,0.10901422004084016,0.9855182810439193,0.8851683913479972,1.0050971518478558,0.3292773431140808,0.1870678054503889,0.7409116352899198
GPT-Neo-1.3B,ZS,0.0307 ± 0.0187,3.1058 ± 0.8869,3.8454 ± 1.0764,0.00385 ± 0.01034,0.03071561338289963,0.018670002572886774,3.105767722956719,0.886899635285405,3.8454094393890683,1.076376718426003,0.003850543350611111,0.010340699934758859
Llama3.2-1B,FS,0.0874 ± 0.0477,1.5461 ± 0.6390,1.6669 ± 1.1659,0.04942 ± 0.10328,0.0874356522269925,0.04766174777352572,1.546065143725527,0.6390309890056752,1.666863511277776,1.165944693927566,0.04941683718561111,0.10328444027658931
Llama3.2-1B,LoRA,0.7027 ± 0.1498,0.9497 ± 0.8409,0.9501 ± 0.3781,0.20676 ± 0.75062,0.7026798394566225,0.14981053180441306,0.9497252942279888,0.8409355062344229,0.9500676042439578,0.3781098928037811,0.20675657358308333,0.7506182575152237
Llama3.2-1B,ZS,0.0375 ± 0.0165,2.8389 ± 1.9265,3.9269 ± 1.3833,0.00278 ± 0.00746,0.03751429796968831,0.01652179634843197,2.8388536178894404,1.9265261076298734,3.9268516433052136,1.3833151015035108,0.002781981558833333,0.007460501873375799
Qwen2.5-0.5B,FS,0.0465 ± 0.0505,1.2617 ± 0.7139,1.5544 ± 0.1387,0.04540 ± 0.05286,0.04650772090363168,0.05047161718219507,1.261674576485511,0.7138778122409708,1.5544287232691698,0.13871195718445406,0.04539807876811111,0.052856482474450205
Qwen2.5-0.5B,LoRA,0.7153 ± 0.1118,0.9437 ± 0.8045,0.8931 ± 0.2951,0.21208 ± 0.42985,0.7152824945970979,0.11184717476781618,0.9437112789678146,0.8044539474917884,0.8930611857855604,0.2951101382199936,0.2120798115911111,0.4298523863179057
Qwen2.5-0.5B,ZS,0.0442 ± 0.0175,2.8299 ± 0.1644,2.9607 ± 0.7211,0.00191 ± 0.00329,0.04416953221966753,0.017508742733294783,2.8299368465333656,0.16442454503816264,2.9607304610233154,0.7211425013110633,0.0019117941247222222,0.0032930278470280723
